reference,vanilla_RAG_prediction,vanilla_RAG_bleu,vanilla_RAG_sacrebleu,vanilla_RAG_rouge1,vanilla_RAG_rouge2,vanilla_RAG_rougeL,vanilla_RAG_meteor,vanilla_RAG_bert_precision,vanilla_RAG_bert_recall,vanilla_RAG_bert_f1,vanilla_RAG_exact_match,LQR_prediction,LQR_bleu,LQR_sacrebleu,LQR_rouge1,LQR_rouge2,LQR_rougeL,LQR_meteor,LQR_bert_precision,LQR_bert_recall,LQR_bert_f1,LQR_exact_match,modLQR_prediction,modLQR_bleu,modLQR_sacrebleu,modLQR_rouge1,modLQR_rouge2,modLQR_rougeL,modLQR_meteor,modLQR_bert_precision,modLQR_bert_recall,modLQR_bert_f1,modLQR_exact_match,
"ہاں، ہاں","جی ہاں ، ایک کمکس -35 اور شارپ MZ دونوں ذاتی کمپیوٹرز کی اقسام ہیں۔",1.321794763,2.62796171,0.117647059,0,0.117647059,0.23255814,0.809657216,0.863206625,0.835574865,0,"جی ہاں، ایک کمپیوٹر کی قسم جسے ذاتی کمپیوٹر بھی کہا جاتا ہے اور شارپ MZ دونوں مختلف کمپیوٹرز کی اقسام ہیں.",0.868747578,1.646664242,0.083333333,0,0.083333333,0.196078431,0.809650302,0.863351166,0.835638821,0,"جی ہاں، ایک سیاق و سباق کے اندر دونوں ذاتی کمپیوٹرز کی اقسام تھیں. اگرچہ ان دو مصنوعات میں سے کوئی بھی دوسروں کی طرح مخصوص پی سی جیسی خصوصیات نہیں رکھتا ہے ، لیکن وہ دونوں ایسے آلات تھے جو انفرادی افراد کے ذریعہ استعمال اور بات چیت کرنے کے لئے ڈیزائن کیے گئے تھے ، جیسا کہ بیان کردہ ہے۔",0.293980689,0.574978593,0.03125,0,0.03125,0.108695652,0.787650764,0.86017406,0.822316527,0,
اسٹیون ایلن اسپیلبرگ,"نیو ہالی ووڈ کے بانیوں میں سے کوئی بھی ڈیان ولکنز یا اسٹیون اسپیلبرگ نہیں ہے۔ نیا ہالی ووڈ ایک اداکار اور کمپنی کے مالک تھے ، جس میں آؤٹ لاس اینجلس پر مبنی فلم اسٹوڈیو ز شامل تھے۔",0.564182215,1.121694004,0.095238095,0,0.095238095,0.147058824,0.796049893,0.887720108,0.839389622,0,"ایف جی پی، این آر ایس، انٹرنیٹ براویز، یا ویکیپیڈیا جیسے قابل اعتماد ذریعہ سے پتہ چلتا ہے کہ اسٹیون اسپیلبرگ اور آرون وولف نے 1973 میں فلم ""امریکن گرل"" کی مشترکہ ہدایت کاری کی تھی جبکہ ڈیان ولکنز ایک اداکارہ ہیں جن کا کوئی تعلق نہیں ہے۔",0.454914876,0.867133991,0.078431373,0,0.078431373,0.12345679,0.792635441,0.888364017,0.837773979,0,"ڈیان ولکنز اور اسٹیون اسپیلبرگ نیو ہالی ووڈ کے بانیوں میں سے ایک نہیں ہیں، کیونکہ سیاق و سباق میں ان کا ذکر نہیں کیا گیا ہے.",0.830109546,1.588011771,0.133333333,0,0.133333333,0.178571429,0.822865248,0.878368139,0.849711299,0,
چٹان,"ایمی لی ایک امریکی ملک گلوکارہ، نغمہ نگار اور اداکارہ ہیں. وہ عام طور پر بلیو گراس موسیقی سے وابستہ ہوتی ہیں ، جو روٹس میوزک کی ایک قسم ہے جس کا تعلق جنوب مشرقی ریاستہائے متحدہ امریکہ سے ہے۔ دوسری طرف ، ٹام سمتھ (جسے عام طور پر ٹی ایس ایم کے نام سے جانا جاتا ہے) بھی ایک ملکی موسیقی کی شخصیت ہیں جو اورال اینڈ رائٹ میں کرٹس رائٹ کے ساتھ شراکت داری کرتی تھیں ، جو ایک امریکی ملک موسیقی جوڑی ہے جس نے اپنے سنگلز کو چارٹ کیا اور بہت سی فنکاروں کی ترقی میں مدد کی۔",0,0,0,0,0,0,0.748391986,0.837107956,0.790267885,0,"ایمی لی (جسے ایمی ریان بھی کہا جاتا ہے) اور ٹام اسٹینفورڈ مارٹن ، جنہوں نے خود کو دی اینڈ ٹی ایم کے نام سے پیش کیا ، موسیقی کی صنفوں سے تعلق رکھتے ہیں جیسے بلیوز اور ملکی راک۔ دوسری طرف ، اولینڈ رائٹ ، موسیقی کی صنف میں تعاون نہیں کرتے تھے ، لیکن وہ اپنی موسیقی کو ""معیاری"" یا ""میوزیکل ہارر فلموں"" کا حوالہ دینے سے انکار نہیں کرسکتے تھے۔",0,0,0,0,0,0,0.764897704,0.841536045,0.801388741,0,"ایمی لی اور ٹی ایس ایم (ٹنگ، رابرٹ اسمتھ اور مائیکل اسمتھ) موسیقی کی صنف ، بلیو گراس سے متعلق ہیں۔",0,0,0,0,0,0,0.794568896,0.856348157,0.824302614,0,
چیکو میونسپل ہوائی اڈے,"سان فرانسسکو سے یونائیٹڈ ایکسپریس پروازیں ختم کرکے ، نئی خدمات چیری کیپیٹل ہوائی اڈے اور چیکو میونسپل ہوائی اڈے کے درمیان متعارف کرائی گئیں۔",9.429254737,9.429254737,0.275862069,0.222222222,0.275862069,0.640120968,0.859031081,0.931767821,0.893922329,0,"سان فرانسسکو، یونائٹڈ ایکسپریس، چیری کیپیٹل ہوائی اڈا اور چیکو میونسپل ہوائی اڈا",7.689683973,11.49875956,0.352941176,0.266666667,0.352941176,0.577342048,0.879401624,0.935507774,0.906587422,0,"سان فرانسسکو سے یونائیٹڈ ایکسپریس پروازیں ختم کردی گئی ہیں ، اور چیری کیپیٹل ہوائی اڈا اور چیکو میونسپل ہوائی اڈا اس کے درمیان واقع ہیں۔",3.596041574,5.377336385,0.2,0.142857143,0.2,0.467372134,0.862287641,0.924538136,0.892328501,0,
کیسلر ایئر فورس بیس,"نیکول مچل ایک امریکی موسمیاتی ماہر ہیں جو فرانس میں پہلی جنگ عظیم کے دوران مارے گئے سیموئیل ریوز کیسلر جونیئر کی تعظیم میں کاسلر ایئر فورس بیس ، مسیسیپی میں 53 ویں موسمی اسکواڈرون میں فضائی موسمیات کے افسر (ہریکن ہنٹر ایئر بورن موسمیات) کے طور پر تعینات ہیں۔",1.95050111,2.801109567,0.148148148,0.076923077,0.148148148,0.354634831,0.782078326,0.889884353,0.832505703,0,"نیکول مچل ایک امریکی موسمیاتی ماہر ہیں جو پہلی جنگ عظیم کے دوران فرانس میں مارے گئے مسیسیپی سے تعلق رکھنے والے سیموئل ریوز کی یاد میں امریکی ایوی ایٹر ایر فورس بیس ، کیسلر 53 ویں موسم اسکوائرڈرن میں فضائی موسمیات کے افسر (ہریکن ہنٹر ایئربورن موسمیاتی) کی حیثیت سے اپنا مشاہدہ چلاتی ہیں۔",0.778074886,1.410272327,0.101694915,0.035087719,0.06779661,0.271867612,0.784840584,0.885704279,0.832227468,0,"نیکول مچل امریکہ کی فضائیہ میں میجر ہیں اور وہ میسیپی، امریکہ میں واقع کیسلر ایئرفورس بیس پر تعینات ہیں۔ یہ اڈے کا نام پہلی جنگ عظیم کے دوران فرانس میں مارے گئے سیموئیل ریوز کیسیلا جونیئر کے اعزاز میں رکھا گیا ہے۔",0.50976158,1.013496159,0.085106383,0,0.085106383,0.12195122,0.790287673,0.878617048,0.832114816,0,
نسل,"""پسیوڈوٹسوگا""، جسے ""ابیس"" اور ""ٹسوگا"" بھی کہا جاتا ہے، اور ""ہورنیا"" دونوں ایک قسم کی پودوں ہیں.",0,0,0,0,0,0,0.725308418,0.758132577,0.741357386,0,"""پسیوڈوٹسوگا، جو شمالی امریکہ اور مشرقی ایشیا میں پایا جاتا ہے، جسے """"ابیس"""" اور """"ٹسوگا"""" کے طور پر بھی درجہ بندی کیا گیا ہے، اور ہورنیا، جو مشرقی اور جنوبی افریقہ میں پایا جاتا ہے اور """"اسٹیپیلیا"""" اور """"ہودیا"""" سے قریب سے متعلق ہے، دونوں ایک قسم کی کیکٹس یا سمندر کے پودے ہیں.",0,0,0,0,0,0,0.698169112,0.758551776,0.727108955,0,"جینس پتیلوسٹوگا، جسے ابیس اور ٹسوگا بھی کہا جاتا ہے، اور ہورنیکا، جسے اسٹیپیلیا اور ہڈیا بھی کہا جاتا ہے، دونوں جینسیں ہیں جو مختلف قسم کی کاکٹس ہیں. پتیلوسٹوگا شمالی امریکہ اور مشرقی ایشیا میں پایا جاتا ہے، جبکہ ہورنیکا جنوبی افریقہ اور مڈغاسکر کے صحراؤں اور خشک علاقوں سے پیدا ہوتی ہے. ان دونوں جینسوں کو شارپلیڈیسی خاندان میں درجہ بندی کیا گیا ہے ، جو نیلگوپس اور کارنوس سیٹیم کی شاخوں سے تعلق رکھتا ہے۔",0,0,0,0,0,0,0.707705319,0.786963463,0.745232999,0,
ٹینس,"جوآن سیبسٹین کیبل اور جان لائیڈ نہ تو ""مسٹر ڈرلر: اسپرٹ"" کھیل میں شامل ہیں، اور نہ ہی انہوں نے الوار اینڈ رائٹ موسیقی جوڑی کی نمائندگی کی.",0,0,0,0,0,0,0.742747247,0.890494108,0.809937894,0,"جوآن سیبسٹین کیبل اور جان لائیڈ دونوں ایک دوسرے گیم میں مشغول ہیں: مسٹر ڈرلر، جسے نائنٹینڈو ڈی ایس کے لئے نامکو نے تیار کیا تھا. تاہم ، وہ اورال اینڈ رائٹ کی طرح ایک ملک موسیقی جوڑی یا سولو فنکار نہیں ہیں۔",0,0,0,0,0,0,0.72696346,0.879042029,0.795802295,0,"میں اس سیاق و سباق یا سوال سے متعلق کسی بھی معلومات تک رسائی حاصل کرنے اور جان لائڈ یا جوین سیبسٹین کیبل جیسے مشہور موسیقاروں کے گانے ""آر ان اینڈ رائٹ"" پر تبادلہ خیال نہیں کر سکتا. یہ ایک ہارڈ ویئر اور گیمنگ کمپنی ہے، جبکہ دوسرا موسیقی کا ایک مشہور جوڑا ہے۔ اس موضوع پر مزید معلومات فراہم کرنے سے مدد مل سکتی ہے.",0,0,0,0,0,0,0.712570131,0.872409225,0.784430146,0,
لونا,"کیم لیپ ایک سنگل البم نہیں ہے ، بلکہ یہ جنوبی کوریا میں عالمی شہرت یافتہ گرل گروپ کی ایک مشہور اصطلاح ہے۔",0,0,0,0,0,0,0.761209071,0.815316141,0.787334085,0,"موسم گرما کی ڈائری ایک سنگل البم ہے جس میں ساؤنڈ ٹریک شامل ہیں ، جبکہ کیم لیپ اور جین سول دونوں ناقابل شناخت سنگل البمز ہیں۔ کوون سوہون 4 منٹ اور آرنج گرل گروپس میں شامل رہ چکی ہیں، تاہم ، وہ تمام البم صرف سنگلز پر مشتمل ہوتے ہیں جو ان کے قبضے یا متعلقہ گانے کی طرف اشارہ کرنے میں مددگار ثابت ہوسکتے ہیں ، جس سے یہ واضح نہیں ہوتا کہ ان کی موسیقی کو مجموعی طور پر ایک البم یا سنگلز کے تحت درجہ بندی کی گئی ہے۔",0,0,0,0,0,0,0.714356065,0.797782958,0.753768086,0,"جینسول ایک سنگل البم ہے جس میں لونا شامل ہیں ، جو ایک جنوبی کوریائی گرل گروپ ہے۔",1.080231489,2.147691209,0.105263158,0,0.105263158,0.178571429,0.758841395,0.844539285,0.799400091,0,
نہیں,"جی ہاں ، لیول 42 ایک برطانوی بینڈ تھا۔",0,0,0,0,0,0,0.788131297,0.820781589,0.80412513,0,"جی ہاں، بلیک اسٹون چیری اور ایزبل دونوں برطانوی بینڈ تھے.",0,0,0,0,0,0,0.770047903,0.823800802,0.796017945,0,"جی ہاں، آئرن میڈن ایک برطانوی بینڈ تھا.",0,0,0,0,0,0,0.778520286,0.8342067,0.8054021,0,
1952ء میں,"الزبتھ دوم کو نیوزی لینڈ کی بادشاہت میں ایک ایسی رہنما سمجھا جاتا ہے جس نے اپنی حکومت کے دوران تخت سنبھالا، ان کی حکمرانی ابتدائی طور پر 6 فروری 1952 کو شروع ہوئی ، جب ان کے والد ، بادشاہ جارج ششم کا انتقال ہوا اور وہ خود ملکہ بن گئیں۔",0.352220881,0.700277392,0.037037037,0,0.037037037,0.069444444,0.744206429,0.831845939,0.785589457,0,"نیوزی لینڈ کی بادشاہت میں موجودہ حکمران ملکہ الزبتھ دوم ہیں، جنہوں نے اپنے والد کنگ جارج ششم کی موت پر تخت سنبھالا۔",0.828228266,1.646664242,0.08,0,0.08,0.11627907,0.735813022,0.806558728,0.769563377,0,"نیوزی لینڈ کی بادشاہت کی ایک ایسی رہنما ہے جس نے تخت سنبھالا جب اس کے والد کا انتقال 6 فروری 1952 کو ہوا ، اور وہ ملکہ الزبتھ دوم ہیں۔",0,0,0,0,0,0,0.737502217,0.829473495,0.780788839,0,
2009ء میں,"ایملی بارکلی نے وہیل رائیڈر فلم میں پائیک اپیرنا کا کردار ادا کیا اور 2013 میں اینی وِٹل کے ساتھ ٹیلی ویژن فلم ""آن لائن"" میں بھی کام کیا۔",0.647182425,1.199348129,0.064516129,0,0.064516129,0.1,0.748648763,0.843740106,0.793355167,0,"""فلم """"وہیل رائیڈر"""" میں پائیک اپیرانا نے اینی وِٹل اور ایملی بارکلی کے ساتھ ٹیلی ویژن فلم """"دی لارڈ آف دی رنگز: دی رونگ کی ریلیز کے سال کو ظاہر کرنا 2013-07-03 16:04:09""",0.564889215,0.729169864,0.057142857,0,0.057142857,0.084745763,0.724821627,0.826366186,0.772270262,0,"فلم ""وہیل رائیڈر"" (2013) میں پائیک اپیرانا کا کردار ادا کرنے والی اداکارہ، جینی ایٹاک نے اینی وِٹل اور ایملی بارکلی کے ساتھ ""دی انبیٹیوینرز"" (2004) میں بھی اداکاری کی تھی جو 2018ء میں ریلیز ہوئی تھی۔",0.501172466,0.813035057,0.051282051,0,0.051282051,0.076923077,0.728206813,0.86551863,0.790947497,0,
