Unnamed: 0,Title,Content,Translated_Content
267,"Jauchzet Gott in allen Landen, BWV 51","Johann Sebastian Bach composed the church cantata Jauchzet Gott in allen Landen (""Exult in God in every land"" or ""Shout for joy to God in all lands"") BWV 51 , in Leipzig.  The work is Bach's only church cantata scored for a solo soprano and trumpet.  He composed it for general use (""ogni tempo)"", in other words not for a particular date in the church calendar, although he used it for the 15th Sunday after Trinity: the first known performance was on 17 September 1730 in Leipzig.  The work may have been composed earlier, possibly for an occasion at the court of Christian, Duke of Saxe-Weissenfels, for whom Bach had composed the ""Hunting Cantata"" and the ""Shepherd Cantata"".","""جواہان سیبسٹین باخ نے """"جواہزٹ گوٹ ان ایلن لینڈن"""" (بچٹ: """"جواہزٹ گوٹ ان ایلن لینڈن"""" یا """"جواہجٹ گوٹ ان ایلن لینڈن) ، ایک چرچ کینٹٹا ہے جو ایک سولو سوپرانو اور ٹرمپ کے لئے لکھا گیا ہے۔ یہ ایک عام استعمال کے لئے ہے ، لیکن چرچ کیلنڈر میں کسی خاص تاریخ کے لئے نہیں ، اگرچہ اس نے اسے استعمال کیا تھا: تینوں کے بعد پندرہویں اتوار۔ پہلی کارکردگی 17 ستمبر 1730 میں لیپزگ میں لیپزگ میں تھی۔ یہ کام پہلے سے ہی تشکیل دیا گیا تھا ، ممکنہ طور پر کرسچن ، ڈیوک آف ساکس-ویسنفیلس کے دربار میں ایک موقع کے لئے۔"""
268,Mass (Stravinsky),"Igor Stravinsky composed his Mass between 1944 and 1948.  This 19-minute setting of the Roman Catholic Mass exhibits the austere, Neoclassic, anti-Romantic aesthetic that characterizes his work from about 1923 to 1951.  The Mass also represents one of only a handful of extant pieces by Stravinsky that was not commissioned.  As such, part of the motivation behind its composition has been cited by Robert Craft and others as the product of a spiritual necessity.","""اسٹراونسکی نے اپنے """"میس"""" کو 1944 سے 1948 کے درمیان تشکیل دیا تھا۔ رومن کیتھولک ماس کی یہ 19 منٹ کی ترتیب سخت ، نو کلاسیکی ، اینٹی رومانٹک جمالیات کی نمائش کرتی ہے جو 1923 سے 1951 کے درمیان ان کے کام کی خصوصیت ہے۔ ماس بھی اسٹراونسکی کے صرف ایک مٹھی بھر موجود ٹکڑوں میں سے ایک کی نمائندگی کرتا ہے جو کمیشن نہیں کیا گیا تھا۔ اس طرح ، اس کی تشکیل کے پیچھے محرک کا ایک حصہ رابرٹ کرافٹ اور دوسروں نے ایک روحانی ضرورت کی مصنوعات کے طور پر حوالہ دیا ہے۔"""
269,The Rake's Progress,"The Rake's Progress is an opera in three acts and an epilogue by Igor Stravinsky.  The libretto, written by W. H. Auden and Chester Kallman, is based loosely on the eight paintings and engravings ""A Rake's Progress"" (1733–1735) of William Hogarth, which Stravinsky had seen on 2 May 1947, in a Chicago exhibition.","""اسٹریوینسکی کی """"ریگ کی ترقی"""" (انگریزی: The Rake's Progress) تین ایکٹ اور ایک ایپیلوگ میں ایک اوپیرا ہے جو ڈبلیو ایچ آڈن اور چیسٹر کالمن نے لکھا ہے۔ یہ اوپیرا ولیم ہگارتھ کی آٹھ پینٹنگز اور نقشوں پر مبنی ہے جو اسٹریوینسکی نے 2 مئی 1947 کو شکاگو میں ایک نمائش میں دیکھی تھی۔"""
270,Deborah Ortiz,"Deborah V. Ortiz is an American politician from Sacramento, California.  A Democrat, she served in both chambers of the California State Legislature.  A then-member of Sacramento City Council, Ortiz was elected to the California State Assembly in 1996 and served a single two-year term representing the 9th Assembly district.  In 1998, she was elected to the California State Senate from the 6th Senate district with 55% of the vote and won re-election in 2002 with 70.8% of the vote.  Term limits prevented her from seeking a third Senate term in 2006; she instead ran unsuccessfully for Secretary of State.  Currently she is serving as Vice President of Policy at the California Primary Care Association.",ڈیبورا آرٹز ، کیلیفورنیا کی ایک ڈیموکریٹ ، کیلیفورنیا اسٹیٹ قانون ساز اسمبلی کے دونوں ایوانوں میں خدمات انجام دے رہی ہیں۔ اس وقت کی سیکرمینٹو سٹی کونسل کی ممبر ، اورٹز کو 1996 میں کیلیفورنیا اسٹیٹ اسمبلی میں منتخب کیا گیا تھا اور اس نے 9 ویں اسمبلی ڈسٹرکٹ کی نمائندگی کرتے ہوئے ایک دو سالہ مدت کی خدمت کی۔ 1998 میں ، وہ 55 فیصد ووٹ کے ساتھ کیلیفورنیا اسٹیٹ سینیٹ میں منتخب ہوئی اور 2002 میں 70.8 فیصد ووٹ کے ساتھ دوبارہ انتخاب جیت گئیں۔ مدت کی حدود نے اسے 2006 میں تیسری سینیٹ کی مدت کی تلاش سے روک دیا۔ اس کے بجائے وہ ناکام رہی۔
271,Linda Evans Parlette,"Linda Evans Parlette (born August 20, 1945) is an American politician of the Republican Party.  She is a member of the Washington State Senate and serves the state's 12th Legislative District.  She is in her third Senate term, after serving four years in the House of Representatives.",لنڈا ایونز پارلیٹ (پیدائش 20 اگست ، 1945) ایک امریکی سیاستدان ہے جو ریپبلکن پارٹی کی رکن ہے۔ وہ واشنگٹن اسٹیٹ سینیٹ کی رکن ہیں اور ریاست کے بارہویں قانون ساز ضلع کی خدمت کرتی ہیں۔ وہ چار سال ایوان نمائندگان میں خدمات انجام دینے کے بعد اپنی تیسری سینیٹ کی مدت میں ہیں۔
272,"United States Senate election in Delaware, 1984","The 1984 United States Senate election in Delaware was held on November 6, 1984.  Incumbent Democratic Senator Joe Biden won re-election to a third term, defeating Republican challenger John M. Burris.",ریاستہائے متحدہ امریکہ کے سینیٹ کے انتخابات 6 نومبر 1984 کو ڈیلاویئر میں منعقد ہوئے تھے۔ موجودہ ڈیموکریٹک سینیٹر جو بائیڈن نے ریپبلکن چیلنجر جان ایم بیریس کو شکست دے کر تیسری مدت کے لئے دوبارہ انتخاب جیت لیا۔
273,Bob Smith (New Jersey State Senator),"Bob Smith (born March 25, 1947) is an American Democratic Party politician, who has been serving in the New Jersey State Senate since 2002, where he represents the 17th Legislative District.  Smith was elected to his first Senate term November 2001 to fill the seat vacated by the retirement of John Lynch.  Smith serves in the Senate on the Environment Committee (as Chair) and the Judiciary Committee.",باب اسمتھ (پیدائش 25 مارچ ، 1947) ایک امریکی ڈیموکریٹک پارٹی کے سیاستدان ہیں ، جو 2002 سے نیو جرسی اسٹیٹ سینیٹ میں خدمات انجام دے رہے ہیں ، جہاں وہ 17 ویں قانون ساز ضلع کی نمائندگی کرتے ہیں۔ اسمتھ کو جون لنچ کی ریٹائرمنٹ کے بعد خالی ہونے والی نشست کو بھرنے کے لئے نومبر 2001 میں اپنی پہلی سینیٹ کی مدت کے لئے منتخب کیا گیا تھا۔ اسمتھ سینیٹ میں ماحولیات کمیٹی (چیئر) اور جوڈیشری کمیٹی میں خدمات انجام دے رہے ہیں۔
274,"United States Senate election in Montana, 1934","The 1934 United States Senate election in Montana took place on November 6, 1934.  Incumbent United States Senator Burton K. Wheeler, who was first elected to the Senate in 1922, and was re-elected in 1928, ran for re-election.  After easily winning the Democratic primary, Wheeler moved on to the general election, where he faced George M. Bourquin, a former United States Federal Judge and the Republican nominee.  In a stark contrast to his close campaign in 1928, Wheeler won re-election to his third Senate term in a landslide.",1934ء - ریاستہائے متحدہ امریکہ کے ریاست مونٹانا میں سینیٹ کے انتخابات کا انعقاد ہوا۔ موجودہ امریکی سینیٹر برٹن کے وہیلر، جو 1922ء میں پہلی بار سینیٹ کے لیے منتخب ہوئے تھے اور 1928ء میں دوبارہ منتخب ہوئے، نے دوبارہ انتخاب کے لیے دوڑ لگائی۔ ڈیموکریٹک پارٹی کے پرائمری انتخابات میں آسانی سے جیت جانے کے بعد وہیلر عام انتخابات میں حصہ لیا۔ وہ جارج ایم بورکین، سابق وفاقی جج اور ریپبلکن امیدوار کا سامنا کرنے لگے۔
275,John C. Talbot,"John Coffin Talbot (1784–1860) was an American businessperson and politician from Maine.  Talbot, a Democrat, served 6 one-year terms in the Maine Legislature, including two in the Maine House of Representatives (1825; 1831) and four in the Maine Senate (1832-1833; 1836-1837).  In his 4th and final Senate term, Talbot was elected Senate President.",جان کوفن ٹالبٹ (1784-1860) ایک امریکی کاروباری اور سیاستدان تھا جو مین سے تعلق رکھتا تھا۔ ٹالبٹ ، ایک ڈیموکریٹ ، نے مین قانون ساز اسمبلی میں 6 ایک سالہ شرائط کی خدمت کی ، جن میں مین ہاؤس آف ریپریزنٹٹیو (1825-1831) اور مین سینیٹ میں چار (1832-1833) اور مین سینیٹ میں چار (1833-1833) شامل ہیں۔ اپنی چوتھی اور آخری سینیٹ کی مدت میں ، ٹالبٹ کو سینیٹ کا صدر منتخب کیا گیا تھا۔
276,Paula Hawkins,"Paula Fickes Hawkins (January 24, 1927 – December 4, 2009) was an American politician from Florida.  To date, she is the only woman elected to the U.S. Senate from Florida.  She was the second woman ever elected to the Senate from the South and the first in the country ever elected to a full Senate term without a family connection.",پاولا فکس ہاکنز (24 جنوری 1927 - 4 دسمبر 2009) فلوریڈا سے امریکی سیاستدان تھیں۔ آج تک ، وہ فلوریڈا سے امریکی سینیٹ میں منتخب ہونے والی واحد خاتون ہیں۔ وہ جنوبی ریاست سے سینیٹ میں منتخب ہونے والی دوسری خاتون تھیں اور ملک میں پہلی خاتون جو خاندانی رابطے کے بغیر سینیٹ کی مکمل مدت کے لئے منتخب ہوئی تھیں۔
277,Joe Biden,"Joseph Robinette ""Joe"" Biden Jr. ( ; born November 20, 1942) is an American politician who was the 47th Vice President of the United States from 2009 to 2017.  A member of the Democratic Party, he represented Delaware as a United States Senator from 1973 until becoming Vice President in 2009.",جوزف روبینٹ جو بائیڈن (پیدائش 20 نومبر 1942) ایک امریکی سیاستدان ہے جو 2009 سے 2017 تک ریاستہائے متحدہ کے 47 ویں نائب صدر تھے۔ ڈیموکریٹک پارٹی کے رکن ، انہوں نے 1973 سے 2009 میں نائب صدر بننے تک ریاستہائے متحدہ کے سینیٹر کی حیثیت سے ڈیلاویئر کی نمائندگی کی۔
278,Michael J. Michot,"Michael John Michot, known as Mike Michot (born December 12, 1963), is a Republican former member of the Louisiana State Senate.  He represented District 23 (Lafayette Parish) from 2000 to 2012.  He was the chairman of the Senate Finance Committee.  Michot was unopposed for his third Senate term in the nonpartisan blanket primary held on October 20, 2007.  He served in District 43 in the Louisiana House of Representatives from 1996 to 2000.  He was elected as a Democrat to the House but switched parties on June 23, 1997, not quite midway in his term.",مائیکل مائیکٹ (پیدائش: 12 دسمبر ، 1963) ایک ریپبلکن رکن ہے جو ریاست لوزیانا کے سینیٹ میں شامل ہے۔ وہ 2000 سے 2012 تک ڈسٹرکٹ 23 (لافائیٹ پارش) کی نمائندگی کرتا تھا۔ وہ سینیٹ کی مالیاتی کمیٹی کے چیئرمین تھے۔ مائیکٹ 20 اکتوبر ، 2007 کو منعقدہ غیر جانبدار کمبل پرائمری میں اپنی تیسری سینیٹ کی مدت کے لئے بے مقابلہ تھا۔ انہوں نے 1996 سے 2000 تک لوزیانا کے ایوان نمائندگان میں ڈسٹرکٹ 43 میں خدمات انجام دیں۔ وہ 23 جون ، 1997 کو ایوان میں ڈیموکریٹ کے طور پر منتخب ہوئے ، لیکن پارٹیوں کو تبدیل کردیا۔
279,Jon Bramnick,"Jon M. Bramnick (born February 24, 1953) is an American Republican Party politician, who has served in the New Jersey General Assembly since 2003, representing the 21st legislative district.  He has served as the Assembly Republican Leader since January 2012.  He was appointed to the Assembly in 2003 to fill the unexpired term of the vacancy created upon the selection of Thomas Kean, Jr. to fill an unexpired New Jersey Senate term.  He was elected to a full two-year term later that year and was re-elected in 2005, 2007, 2009, 2011, 2013 and 2015.",جان ایم برمنک (پیدائش 24 فروری ، 1953) ایک امریکی ریپبلکن پارٹی کے سیاستدان ہیں ، جو نیو جرسی جنرل اسمبلی میں 2003 سے خدمات انجام دے رہے ہیں ، 21 ویں قانون ساز ضلع کی نمائندگی کرتے ہیں۔ انہوں نے جنوری 2012 سے اسمبلی کے ریپبلکن لیڈر کی حیثیت سے خدمات انجام دیں۔ انہیں 2003 میں اسمبلی میں مقرر کیا گیا تھا تاکہ تھامس کین جونیئر کی انتخاب کے بعد پیدا ہونے والی خالی جگہ کی غیر ختم ہونے والی مدت کو پُر کیا جاسکے۔ وہ اس سال کے آخر میں مکمل دو سالہ مدت کے لئے منتخب ہوئے اور 2005 ، 2007 ، 2009 ، 2011 اور 2015 میں دوبارہ منتخب ہوئے۔
280,Magadan,"Magadan (Russian: Магадан ; ] ) is a port town and the administrative center of Magadan Oblast, Russia, located on the Sea of Okhotsk in Nagayevo Bay in Taui Bay and serving as a gateway to the Kolyma region.  Population:  (2010 Census) ;  (2002 Census) ;  (1989 Census)",مگادان (روسی: Магадан) ایک بندرگاہ شہر اور مگادان اوبلاست کا انتظامی مرکز ہے ، جو روس میں واقع ہے ، جو ٹائی خلیج میں ناگایو خلیج میں اوخوتسک کے سمندر پر واقع ہے اور کولیمہ خطے کے گیٹ وے کے طور پر کام کرتا ہے۔ آبادی: مردم شماری (2010) ؛ (2002 مردم شماری (1989) ؛
281,Ust-Omchug,"Ust-Omchug (Russian: Усть-Омчуг ) is an urban locality (an urban-type settlement) and the administrative center of Tenkinsky District of Magadan Oblast, Russia, located at the 271 km mark of the highway to the northwest of Magadan.  Population:  (2010 Census) ;  (2002 Census) ;  (1989 Census)",Ust-Omchug (روسی: Усть-Омчуг) ایک شہری علاقہ (شہری قسم کا آبادکاری) اور روس کے مگادان اوبلاست کے ٹینکنسکی ضلع کا انتظامی مرکز ہے ، جو مگادان کے شمال مغرب میں ہائی وے کے 271 کلومیٹر نشان پر واقع ہے۔ آبادی: (1989 مردم شماری) ؛ (2002 مردم شماری) ؛ (2010 مردم شماری)
282,"Ceduna, South Australia","Ceduna is a town in South Australia located on the shores of Murat Bay on the west coast of Eyre Peninsula.  It lies west of the junction of the Flinders and Eyre Highways around 786 km northwest of the capital Adelaide.  The port town/suburb of Thevenard lies 3 km to the west on Cape Thevenard.  It is in the District Council of Ceduna, the federal Division of Grey, and the state electoral district of Flinders.  The name Ceduna is a corruption of the local Aboriginal Wirangu word ""Chedoona"" and is said to mean a place to sit down and rest.  The town has played an important but minor role in Australia's overall development due to it being a fishing port and a railway hub.","سیڈونا ، جنوبی آسٹریلیا کا ایک شہر ہے جو جزیرہ نما ایئر کے مغربی ساحل پر واقع ہے ، اور اس کا مطلب ہے کہ یہ ایک جگہ ہے جہاں لوگ بیٹھ کر آرام کرتے ہیں۔ یہ شہر آسٹریلیا کے دارالحکومت ایڈیلیڈ کے شمال مغرب میں واقع ہے۔ یہ شہر سیڈونا کے ڈسٹرکٹ کونسل ، فیڈرل ڈویژن آف گری ، اور فلینڈرز کے انتخابی ضلع میں واقع ہے۔ سیڈونا مقامی آبائی زبان کے لفظ ""چڈونا"" کی ایک بدعنوانی ہے اور اس کا مطلب ہے بیٹھ کر آرام کرنے کی جگہ۔"
283,Larymna,"Larymna (Greek: Λάρυμνα ) is a port town in Phthiotis, Greece.  It is situated on the North Euboean Gulf.  Since the 2011 local government reform, it is a part of the municipality Lokroi, of which it is a community.  Larymna took its name from the ancient Boeotian port town Larymna, which was situated at the same place.",لارمنا (انگریزی: Larymna) یونان کا ایک بندرگاہ شہر ہے جو شمالی خلیج ایوبین میں واقع ہے۔ 2011 میں مقامی حکومت کی اصلاحات کے بعد سے ، یہ لوکروئی میونسپلٹی کا ایک حصہ ہے ، جس کی یہ ایک کمیونٹی ہے۔ لارمنا نے اپنا نام قدیم بوئوسین بندرگاہ شہر لارمنا سے لیا ، جو اسی جگہ پر واقع تھا۔
284,El Taref Province,"El Taref (Arabic: ولاية الطارف‎ ‎ , Berber: ) is a province (""wilaya"") of Algeria.  El Kala is a port town in this province.  El Taref is the capital city.  El Kala, a port town in this province, is home to ""El Kala National Park"".","ال طارف (عربی: ال طارف ، بربر: ال طارف) الجزائر کا ایک صوبہ (""ویلایا"") ہے۔ ال کالا اس صوبے کا ایک بندرگاہ شہر ہے۔ ال طارف دارالحکومت ہے۔ ال کالا ، اس صوبے کا ایک بندرگاہ شہر ، ""ال کالا نیشنل پارک"" کا گھر ہے۔"
285,D7 motorway (Czech Republic),"D7 motorway (Czech: ""Dálnice D7"" ), formerly Expressway R7 (Czech: ""rychlostní silnice R7"" ) is a highway northwest from Prague to Chomutov and German border.",D7 (چیک: Dálnice D7) ، پہلے ایکسپریس وے R7 (چیک: Rychlostní Silnice R7) ، پراگ سے چوموتوو اور جرمن سرحد تک شمال مغرب میں ایک شاہراہ ہے۔
286,Florida State Road 297,"Known locally as Pine Forest Road, State Road 297 (SR 297) is a north–south divided highway northwest of Pensacola.  The road serves as a connector between Mobile Highway (US 90/SR 10) and Interstate 10 (SR 8) in the Pensacola metropolitan area.  The road also extends into the northern Pensacola suburbs, where it ends at an intersection with Nine Mile Road (Alt US 90/SR 10).  The road is also the main truck route to Pensacola Naval Air Station.",اسٹیٹ روڈ 297 (ایس آر 297) ، جسے مقامی طور پر پائن فارسٹ روڈ کے نام سے جانا جاتا ہے ، پنساکولا کے شمال مغرب میں ایک شمال سے جنوب میں تقسیم شدہ شاہراہ ہے۔ یہ سڑک پنساکولا میٹروپولیٹن علاقے میں موبائل ہائی وے (یو ایس 90) اور انٹرسٹیٹ 10 (ایس آر 10) کے مابین کنیکٹر کے طور پر کام کرتی ہے۔ یہ سڑک شمالی پنساکولا مضافات میں بھی پھیلی ہوئی ہے ، جہاں یہ نائن میل روڈ (اٹ ایس آر 90) کے ساتھ ایک چوراہے پر ختم ہوتی ہے۔
287,Port Town-nishi Station,"Port Town-nishi Station (ポートタウン西駅 , Pōtotaun-nishi-eki , station number: P12) is a train station on the Nankō Port Town Line (New Tram) in Suminoe-ku, Osaka, Japan.  It literally means ""Port Town West"".",پورٹ ٹاؤن-نیشی اسٹیشن (Port Town-Nishi Station) (پٹوٹاون-نیشی-کی) (پونٹاون-نیشی-کی) (پونٹاون-نیشی-کی) (پونٹاون-نیشی اسٹیشن) (پونٹاون-نیشی اسٹیشن) (پونٹاون-نیشی اسٹیشن) (پونٹاون-نیشی اسٹیشن) (پونٹاون-نیشی اسٹیشن) (پونٹاون-نیشی اسٹیشن) (پونٹاون-نیشی اسٹیشن) (پونٹاون-نیشی اسٹیشن) (پونٹاون-نیشی اسٹیشن) (پونٹاون اسٹیشن) (پونٹاون اسٹیشن) (پونٹاون اسٹیشن) (نانکو اسٹیشن) (نانکو اسٹیشن) (نانکو ٹرام) پر ایک ٹرین اسٹیشن ہے۔
288,Kudiramalai,"Kudiramalai (Sinhala: කුදිරමලෙයි, Tamil: குதிரைமலை, Greek: Hippuros, English: Horse Mountain) is a cape and ancient port town on the west coast of Sri Lanka.  On the Gulf of Mannar near Silavaturai, the town shares a history with nearby Karaitivu Island, the ancient port town of Mannar and the Ketheeswaram temple.  Kudiramalai is the northernmost point of Puttalam District and was a southern port of Mannar during the classical period, serving the northern kingdoms of the Jaffna Peninsula and Vanni country as one of their southernmost border towns.  It is west of Vanni from Trincomalee (Thiru-Konamalai), home of Koneswaram temple.",کڈیرامالائی (انگریزی: Kudiramalay) سری لنکا کا ایک بندرگاہ شہر ہے جو شمالی جزیرہ نما جافنا اور وینی کے درمیان واقع ہے۔ یہ شہر وینی کے قریب واقع ہے اور اس کے قریب ہی واقع ہے ۔ یہ شہر کڈیرامالائی کا سب سے شمالی مقام ہے اور قدیم دور میں یہ وینی کے شمالی علاقوں میں سے ایک تھا۔
289,Port Town-higashi Station,"Port Town-higashi Station (ポートタウン東駅 , Poutotaun-higashi-eki , station number: P13) is a train station on the Nankō Port Town Line (New Tram) in Suminoe-ku, Osaka, Japan.  It literally means ""Port Town East"".","پورٹ ٹاؤن ہگشی اسٹیشن (Port Town Higashi Station) (پوتون ہگشی-ایکی ، اسٹیشن نمبر: پی 13) جاپان کے اوساکا کے سومینوے کو میں نانکو پورٹ ٹاؤن لائن (نیو ٹرام) پر ایک ٹرین اسٹیشن ہے۔ اس کا لفظی مطلب ہے ""پورٹ ٹاؤن ایسٹ""۔"
290,Abraham Bueno de Mesquita,"Abraham ('Appie') Bueno de Mesquita (July 23, 1918, in Amsterdam – August 19, 2005, in Lelystad), commonly known under his stage name Bueno de Mesquita was a Dutch comedian, actor and stage artist, well known for his ability to make funny faces.",ابراہم (پہلے: ایپی) بوینیو ڈی مسکیٹا (پیدائش: 23 جولائی 1918 ، ایمسٹرڈیم - 19 اگست 2005 ، لیلسٹڈ) ، عام طور پر اپنے اسٹیج نام بوینیو ڈی مسکیٹا کے نام سے جانا جاتا تھا ، ایک ڈچ کامیڈین ، اداکار اور اسٹیج آرٹسٹ تھا ، جو مضحکہ خیز چہرے بنانے کی صلاحیت کے لئے مشہور تھا۔
291,Lelystad,"Lelystad (] ) is a municipality and a city in the centre of the Netherlands, and it is the capital of the province of Flevoland.  The city, built on reclaimed land, was founded in 1967 and was named after Cornelis Lely, who engineered the Afsluitdijk, making the reclamation possible.  Lelystad is approximately 3 m below sea level.",لیلیسٹڈ (انگریزی: Lelystad) نیدرلینڈز کا ایک شہر اور میونسپلٹی ہے۔ یہ شہر فلیولینڈ کے صوبے کا دارالحکومت ہے۔ یہ شہر 1967 میں قائم کیا گیا تھا اور اس کا نام کورنیلس لیلی کے نام پر رکھا گیا تھا ، جس نے افلوٹ ڈیک کو انجینئر کیا تھا ، جس سے بحالی ممکن ہوگئی۔ لیلیسٹڈ سمندر کی سطح سے تقریبا 3 میٹر نیچے ہے۔
292,Norman de Mesquita,Samuel Norman Bueno de Mesquita (1932 – announced 29 July 2013) was a British sports journalist and broadcaster who specialized in the coverage of cricket and ice hockey.,سموئیل بونو ڈی مسکیٹا (انگریزی: Samuel Norman Bueno de Mesquita) (مطبوعہ: 29 جولائی 2013) ایک برطانوی کھیلوں کے صحافی اور نشریاتی ادارے کے بانی تھے جو کرکٹ اور آئس ہاکی کی کوریج میں مہارت رکھتے تھے۔
293,"Santa Quitéria, Ceará","Santa Quitéria is a municipality in the central area of the state of Ceará, Brazil.  Its history goes back to the 18th Century, when the farmer João Pinto de Mesquita settled in the area.",سانتا کیٹیریا (انگریزی: Santa Quitéria) برازیل کے ریاست سیرا کے ایک شہر ہے۔ اس کا نام سینٹ پیٹریا (انگریزی: Santa Quitéria) ہے۔ یہ شہر برازیل کے صوبے سیرا کے ایک شہر میں واقع ہے۔ اس کا نام سینٹ پیٹریا (انگریزی: Santa Quitéria) ہے۔
294,Quintiliano de Mesquita,"Quintiliano H. de Mesquita (Quintiliano H. Guedes de Mesquita) (1918 – October 28, 2000), Brazilian physician and scientist, was born in João Pessoa, state of Paraíba.  Your parents were Odilon Martins de Mesquita, trader, and Nathália Guedes Pereira.",کوئنٹیلینو ڈی مسکیٹا (انگریزی: Quintiliano de Mesquita) (پیدائش: 28 اکتوبر 1918ء) ایک برازیلین طبیب اور سائنسدان ہے۔ وہ برازیل کے ریاست پیرائیبا کے شہر جوآن پیسیوا میں پیدا ہوئے تھے۔ ان کے والدین اوڈیلون مارٹنس ڈی مسکیٹا اور نتھالیا گڈیس پیریرا تھے۔
295,Bruce Bueno de Mesquita,"Bruce Bueno de Mesquita (born November 24, 1946) is a political scientist, professor at New York University, and senior fellow at Stanford University's Hoover Institution.",بروس بوینو ڈی مسکیٹا (پیدائش: 24 نومبر ، 1946) ایک سیاسی سائنسدان ، نیو یارک یونیورسٹی کے پروفیسر ، اور اسٹینفورڈ یونیورسٹی کے ہوور انسٹی ٹیوٹ کے سینئر فیلو ہیں۔
296,Vicente Nicolau de Mesquita,"Vicente Nicolau de Mesquita (July 9, 1818 in São Lourenço, Portuguese Macau – March 20, 1880 in São Lourenço, Portuguese Macau) was an officer of the Portuguese Army in Macau.  He is widely remembered for his role at the Portuguese attack of Baishaling, in 1849.  He was the oldest of the five children of noted Macanese lawyer, Frederico Albino de Mesquita and Clara Esmeralda Carneiro - both Macau natives.  He married twice; first to Balbina Maria da Silveira; second to his sister-in-law Carolina Maria Josefa da Silveira.","نکولس ڈی مسکیٹا (پرتگالی: Nicolau Vicente de Mesquita ، 9 جولائی 1818 - 20 مارچ 1880 ، ساؤ لوئرنسو ، پرتگالی: São Lourenço, پرتگالی: Vicente de Macau) ایک پرتگالی فوجی افسر تھا جو 18 ویں صدی میں پرتگالیوں کے حملے میں شامل ہوا تھا۔ وہ مشہور مکین وکیل فریڈریکو البینو ڈی مسکیٹا اور کلارا ایسمرالڈا کارنیرو کے پانچ بچوں میں سب سے بڑا تھا۔ اس نے دو بار شادی کی: پہلی بار بالبینا کیرولینا ماریا دا سلویرا سے اور دوسری بار اس کی بہو ماریا جوزف دا سلویرا سے۔"
297,Selectorate theory,"The selectorate theory is detailed in ""The Logic of Political Survival"", authored by Bruce Bueno de Mesquita of New York University (NYU), Alastair Smith of NYU, Randolph M. Siverson of UC Davis, and James D. Morrow of the University of Michigan.","""اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد، اس کے بعد."""""""
298,José de Mesquita,"José Barnabé de Mesquita (March 10, 1892, Cuiabá – June 22, 1961, Cuiabá), generally known as ""José de Mesquita"", was a Brazilian poet parnassian, romance and short story writer, historiographer, journalist, essayist, genealogist and jurist.",جوسے بارنابی ڈی مسکیٹا (پیدائش: 10 مارچ 1892 - 22 جون 1961 ، کیوبا) ، عام طور پر جوسے ڈی مسکیٹا کے نام سے جانا جاتا ہے ، ایک برازیل کے شاعر ، رومانس اور مختصر کہانی کے مصنف ، مورخ ، صحافی ، مضمون نگار ، نسب نامہ نگار اور قانون دان تھے۔
299,Samuel Jessurun de Mesquita,"Samuel Jessurun de Mesquita (6 June 1868 – 11 February 1944) was a Dutch graphic artist active in the years before the Second World War.  His pupils included graphic artist M. C. Escher (1898–1972).  A Sephardic Jew, in his old age he was sent to Auschwitz by the Nazis, where he was gassed along with his wife.  After the war, de Mesquita was largely forgotten.",سموئیل جیسورون ڈی مسکیٹا (Samuel Jessurun de Mesquita) (۶ جون ۱۸۶۸ - ۱۱ فروری ۱۹۴۴) ایک ڈچ گرافک آرٹسٹ تھا جو دوسری جنگ عظیم سے پہلے کے سالوں میں سرگرم تھا۔ اس کے شاگردوں میں گرافک آرٹسٹ ایم سی ایسچر (M. C. Escher) بھی شامل تھے۔ ایک سیفاردک یہودی، اپنی بڑھاپے میں اسے نازیوں نے آوشوٹز میں بھیجا تھا، جہاں اسے اپنی بیوی کے ساتھ گیس سے مارا گیا۔ جنگ کے بعد، ڈی مسکیٹا کو بڑے پیمانے پر بھول گیا تھا۔
