,Title,Content
13,Michael Smith (newspaper reporter),"Michael Smith is a British author who specializes in spies and espionage.  He is also the Bletchley Park Fellow at Kellogg College, Oxford, and a member of the board of the Bletchley Park Trust."
14,Banburismus,"Banburismus was a cryptanalytic process developed by Alan Turing at Bletchley Park in England during the Second World War.  It was used by Bletchley Park's Hut 8 to help break German ""Kriegsmarine"" (naval) messages enciphered on Enigma machines.  The process used sequential conditional probability to infer information about the likely settings of the Enigma machine.  It gave rise to Turing's invention of the ""ban"" as a measure of the weight of evidence in favour of a hypothesis.  This concept was later applied in Turingery and all the other methods used for breaking the Lorenz cipher."
15,Alec Naylor Dakin,"Alec Naylor Dakin (3 April 1912 – 14 June 2003) was a Fellow of Oxford College, a cryptologist at Bletchley Park, an Egyptologist and schoolmaster."
16,Women in Bletchley Park,"About 8,000 women worked in Bletchley Park, the central site for British cryptanalysts during World War II.  Women constituted roughly 75% of the workforce there.  While women were overwhelmingly under-represented in high-level work, such as cryptanalysis, they were employed in large numbers in important auxiliary work, such as: operating cryptographic machinery and communications machinery; translating of Axis documents; traffic analysis; clerical duties, and many more besides."
17,Stuart Milner-Barry,"Sir Philip Stuart Milner-Barry (20 September 1906 – 25 March 1995) was a British chess player, chess writer, World War II codebreaker and civil servant.  He represented England in chess both before and after World War II.  He worked at Bletchley Park during World War II, and was head of ""Hut 6"", a section responsible for deciphering messages which had been encrypted using the German Enigma machine.  He was one of four leading codebreakers at Bletchley to petition the then-Prime Minister Winston Churchill directly for more resources for their work.  After the war he worked in the Treasury, and later administered the British honours system.  In chess, he represented England in international tournaments, and lent his name to three opening variations."
18,Bletchley Park,"Bletchley Park was the central site for British codebreakers during World War II.  It housed the Government Code and Cypher School (GC&CS), which regularly penetrated the secret communications of the Axis Powersmost importantly the German Enigma and Lorenz ciphers.  According to the official historian of British Intelligence, the ""Ultra"" intelligence produced at Bletchley shortened the war by two to four years, and that without it the outcome of the war would have been uncertain."
19,Susan Elizabeth Black,"Susan Elizabeth Black {'1': "", '2': "", '3': "", '4': ""} (born 1962) is a British computer scientist, academic and social entrepreneur.  She has been instrumental in saving Bletchley Park, the site of World War II codebreaking, with her ""Saving Bletchley Park"" campaign."
20,The Dance and the Railroad,"The Dance and the Railroad is a 1981 play by American playwright David Henry Hwang.  Hwang's second play, it depicts a strike in a coolie railroad labor camp in the mid-nineteenth century.  The play premiered as part of a commission by the New Federal Theatre in 1981.  It had its professional debut on July 16, 1981 Off-Broadway at the Joseph Papp Public Theater.  It was directed by John Lone, with Lone and Tzi Ma in the cast."
21,Jurassic Park: Operation Genesis,"Jurassic Park: Operation Genesis is a construction and management simulation video game based on the ""Jurassic Park"" series and released for Windows, Xbox, and PlayStation 2.  The main point of the game is to recreate Jurassic Park - building a five-star theme park with dinosaurs, and turning John Hammond's dream into reality.  In the park, the player builds paths, amenities for visitors such as food, restrooms, enclosures, and attractions.  One must also keep the park safe and secure.  The park can be populated with up to sixty dinosaurs, with twenty-five different species available from the three ""Jurassic Park"" films.  The player can also add attractions similar to those seen in the films, such as the safari seen in the first ""Jurassic Park"" film from 1993, and additional attractions such as a balloon tour and several varieties of viewing platform."
22,Face Value (play),"Face Value was a 1993 play by American playwright David Henry Hwang.  It was to be the second Broadway production of the playwright's work, but it closed in previews on March 14, 1993.  The production was scheduled to open at the Cort Theatre.  It was directed by Jerry Zaks, with B. D. Wong, Jane Krakowski, Mark Linn-Baker, Mia Korf, and Gina Torres in the cast."
23,Family Devotions,"Family Devotions is a 1981 play by American playwright David Henry Hwang.  Hwang's third play, it depicts the clash of West and East within three generations of an Americanized Chinese family living in a Los Angeles suburb.  The play premiered on October 18, 1981 Off-Broadway at the Joseph Papp Public Theater.  It was directed by Robert Allan Ackerman, with Michael Paul Chan, Jodi Long, Lauren Tom, and Victor Wong.  The play was nominated for a Drama Desk Award."
24,B. D. Wong,"Bradley Darryl ""BD"" Wong (born October 24, 1960) is an American actor.  Wong won a Tony Award for his performance as Song Liling in ""M. Butterfly"", becoming the only actor in Broadway history to receive the Tony Award, Drama Desk Award, Outer Critics Circle Award, Clarence Derwent Award, and Theatre World Award for the same role.  He has since gained more notability for playing the roles on """", Father Ray Mukada on ""Oz"", Dr. John Lee on ""Awake"", Dr. Henry Wu in the first ""Jurassic Park"" film as well as the fourth entry, ""Jurassic World"", and Ngapoi Ngawang Jigme in the film ""Seven Years in Tibet"".  As of August 13, 2017, Wong is the host of the new HLN medical documentary series ""Something's Killing Me With BD Wong""."
25,The Sound of a Voice,"The Sound of a Voice is a 1983 play by American playwright David Henry Hwang.  Hwang's fifth play, it is an original ghost story inspired by Japanese folk stories, films, and Noh theater.  The play was first produced as part of the production ""Sound and Beauty"" on November 6, 1983 Off-Broadway at the Joseph Papp Public Theater.  It was directed by and featured John Lone."
26,The House of Sleeping Beauties,"The House of Sleeping Beauties is a 1983 play by American playwright David Henry Hwang.  Hwang's fourth play, it is an adaptation of Yasunari Kawabata's novella ""House of the Sleeping Beauties"".  The play depicts Kawabata and how he might have come to have written the novella.  The play was first produced as part of the production ""Sound and Beauty"" on November 6, 1983 Off-Broadway at the Joseph Papp Public Theater.  It was directed by John Lone, with Victor Wong in the cast."
27,Yellow Face (play),"Yellow Face is a semi-autobiographical play by David Henry Hwang, featuring the author himself as the protagonist, mounting his 1993 play ""Face Value"".  The play's themes include questions of race and of the interaction between media and politics."
28,Jurassic Park III: Island Attack,"Jurassic Park III: Island Attack (known as Jurassic Park III: Advanced Action in Japan and Jurassic Park III: Dino Attack in Europe; originally known as Jurassic Park III: Primal Fear) is a video game for the Game Boy Advance.  ""Island Attack"" is loosely based on the 2001 film ""Jurassic Park III""."
29,Rich Relations,"Rich Relations is a 1986 play by American playwright David Henry Hwang.  Hwang's first play with all non-Asian characters, it depicts the rich WASP Orr family and the damage within from parent to child, with many religious overtones.  The play premiered at the McGinn-Cazale Theatre on April 21, 1986 Off-Broadway as part of the Second Stage Theatre.  It was directed by Harry Kondoleon, with Phoebe Cates and Keith Szarabajka."
30,Oklahoma Sooners football,"The Oklahoma Sooners football program is a college football team that represents the University of Oklahoma (variously ""Oklahoma"" or ""OU"").  The team is currently a member of the Big 12 Conference, which is in Division I Football Bowl Subdivision (formerly Division I-A) of the National Collegiate Athletic Association (NCAA).  The program began in 1895 and is one of the most successful programs since World War II with the most wins (606) and the highest winning percentage (.762) since 1945.  The program has 7 national championships, 45 conference championships, 154 All-Americans (76 consensus), and five Heisman Trophy winners.  In addition, the school has had 23 members (five coaches and 18 players) inducted into the College Football Hall of Fame and holds the record for the longest winning streak in Division I history with 47 straight victories, a record that stands to this day.  Oklahoma is also the only program that has had four coaches with 100+ wins.  They became the sixth NCAA FBS team to win 850 games when they defeated the Kansas Jayhawks on November 22, 2014.  The Sooners play their home games at Gaylord Family Oklahoma Memorial Stadium in Norman, Oklahoma.  Lincoln Riley is currently the team's head coach."
31,2012 Oklahoma Sooners football team,"The 2012 Oklahoma Sooners football team represented the University of Oklahoma in the 2012 NCAA Division I FBS football season, the 118th season of Sooner football.  The team was led by two-time Walter Camp Coach of the Year Award winner, Bob Stoops, in his 14th season as head coach.  They played their home games at Gaylord Family Oklahoma Memorial Stadium in Norman, Oklahoma.  They were a charter member of the Big 12 Conference."
32,1970 Oklahoma Sooners football team,"The 1970 Oklahoma Sooners football team represented the University of Oklahoma in the 1970 college football season, the 76th season of Sooner football.  The team was led by head coach Chuck Fairbanks in his fourth season as the OU head coach.  They played their home games at Gaylord Family Oklahoma Memorial Stadium in Norman, Oklahoma.  They were a member of the Big Eight Conference."
33,2003 Oklahoma Sooners football team,"The 2003 Oklahoma Sooners football team represented the University of Oklahoma in the 2003 NCAA Division I-A football season, the 109th season of Sooner football.  The team was led by two-time Walter Camp Coach of the Year Award winner (winning his second one that season), Bob Stoops, in his fifth season as head coach.  They played their home games at Gaylord Family Oklahoma Memorial Stadium in Norman, Oklahoma.  They were a charter member of the Big 12 Conference."
34,1979 Oklahoma Sooners football team,The 1979 Oklahoma Sooners football team represented the University of Oklahoma in the college football 1979 NCAA Division I-A season.  Oklahoma Sooners football participated in the former Big Eight Conference at that time and played its home games in Gaylord Family Oklahoma Memorial Stadium where it has played its home games since 1923.  The team posted an 11–1 overall record and a 7–0 conference record to earn the Conference title outright under head coach Barry Switzer who took the helm in 1973.  This was Switzer's seventh conference title and fourth undefeated conference record in seven seasons.
35,2006 Oklahoma Sooners football team,"The 2006 Oklahoma Sooners football team represented the University of Oklahoma in the 2006 NCAA Division I FBS football season, the 112th season of Sooner football.  The team was led by two-time Walter Camp Coach of the Year Award winner, Bob Stoops, in his eighth season as head coach.  They played their homes games at Gaylord Family Oklahoma Memorial Stadium in Norman, Oklahoma.  They were a charter member of the Big 12 Conference."
36,2009 Oklahoma Sooners football team,"The 2009 Oklahoma Sooners football team represented the University of Oklahoma in the 2009 NCAA Division I FBS football season, the 115th season of Sooner football.  The team was led by two-time Walter Camp Coach of the Year Award winner, Bob Stoops, in his 11th season as head coach.  They played their home games at Gaylord Family Oklahoma Memorial Stadium in Norman, Oklahoma.  They were a charter member of the Big 12 Conference."
37,"Norman, Oklahoma","Norman is a city in the U.S. state of Oklahoma 20 mi south of downtown Oklahoma City in its metropolitan area.  The population was 110,925 at the 2010 census.  Norman's estimated population of 120,284 in 2015 makes it the third-largest city in Oklahoma, and the city serves as the county seat of Cleveland County."
38,1973 Oklahoma Sooners football team,The 1973 Oklahoma Sooners football team represented the University of Oklahoma in the 1973 NCAA Division I football season.  Oklahoma participated as members of the Big Eight Conference and played its home games in Gaylord Family Oklahoma Memorial Stadium where it has played its home games since 1923.  The team posted a 10–0–1 overall record and a 7–0 conference record to earn the Conference outright title under first-year head coach Barry Switzer.  This would be the first of eight consecutive Big Eight Conference championships for the Sooners with Switzer as head coach.
39,Barry Switzer Center,"The Barry Switzer Center, on the University of Oklahoma campus in Norman, Oklahoma, houses football offices, the football locker room, equipment room, the Siegfried Strength and Conditioning Complex, the Freede Sports Medicine Facility and the Touchdown Club Legends Lobby.  The Center is located at the south end of the Gaylord Family Oklahoma Memorial Stadium.  The Barry Switzer Center, dedicated on April 24, 1999, was named after OU’s all-time winningest head football coach.  During Summer 2015 the Switzer Center was demolished as part of the expansion of Gaylord Family Oklahoma Memorial Stadium.  In Barry Switzer’s 16 seasons as the Oklahoma Sooners head football coach, the team won three national championships, 12 Big Eight Conference championships and eight bowl games in 13 appearances."
40,The Ned-Liest Catch,"""The Ned-Liest Catch"" is the twenty-second episode and season finale of the twenty-second season of ""The Simpsons"".  It originally aired on the Fox network in the United States on May 22, 2011.  This is the second season finale to end on a cliffhanger, with the first being ""Who Shot Mr. Burns? "" from the sixth season.  It is the third episode and the second one from season 22 (the other being ""The Great Simpsina"") to have no opening credits, blackboard or couch gag."
41,Barney Gumble,"Barnard ""Barney"" Gumble is a fictional character on the American animated sitcom ""The Simpsons"".  The character is voiced by Dan Castellaneta and first appeared in the series premiere episode ""Simpsons Roasting on an Open Fire"".  He is the town drunk of Springfield and Homer Simpson's best friend.  His desperation for alcohol is a frequent butt of jokes on the show.  Barney sobered up in the episode ""Days of Wine and D'oh'ses"", which was co-written by Castellaneta, and stayed sober for several seasons.  Barney was inspired by the cartoon character Barney Rubble from ""The Flintstones"" and by several barflies from other television programs.  In 2004, Castellaneta won an Emmy Award for voicing various characters, including Barney."
42,Dan Castellaneta filmography,"The following is a complete filmography of the actor Dan Castellaneta.  Active since the 1980s, Castellaneta has appeared in numerous films, television series and video games.  Along with his live-action work, he has often worked as a voice actor, including for his longest-running role as Homer Simpson in the animated sitcom ""The Simpsons"".  Castellaneta has also written six episodes of the show with his wife Deb Lacusta, and has won three Primetime Emmy Awards Outstanding Voice-Over Performance for it."
43,Genie (Disney),"The Genie is a jinni appearing in the ""Aladdin"" franchise from Disney.  He is never given a proper name.  He was voiced by Robin Williams in the first film.  Following a contract dispute between Williams and the Walt Disney Company, Dan Castellaneta voiced the Genie throughout the direct-to-video feature ""The Return of Jafar"", as well as the television series, before Williams reprised the role for the final installment, ""Aladdin and the King of Thieves"", as well as for the character's own mini-series, ""Great Minds Think for Themselves"".  Castellaneta voiced the Genie in ""Aladdin in Nasira's Revenge"" and later the ""Kingdom Hearts"" series of video games by Square Enix and Disney Interactive Studios for both ""Kingdom Hearts"" and ""Kingdom Hearts II"" (with archived audio used in other Kingdom Hearts games).  Jim Meskimen took over the role in ""Disney Think Fast"" (2008) and ""Kinect Disneyland Adventures"" (2011) and currently voices him, after Williams' death in 2014."
44,The Great Simpsina,"""The Great Simpsina"" is the eighteenth episode of ""The Simpsons""' twenty-second season.  It originally aired on the Fox network in the United States on April 10, 2011.  It was written by Matt Warburton and directed by Chris Clements.  It is the second episode to have no blackboard nor couch gag added on the opening credits, with the first being ""Sideshow Bob Roberts"" from seventeen years earlier.  Following its broadcast, the episode received mixed reviews from critics."
45,The Itchy &amp; Scratchy Show,"The Itchy & Scratchy Show (often shortened as Itchy & Scratchy) is a running gag and fictional animated television series featured in the American animated television series ""The Simpsons"".  It usually appears as a part of ""The Krusty the Clown Show"", watched regularly by Bart Simpson and Lisa Simpson.  Itself an animated cartoon, ""The Itchy & Scratchy Show"" depicts a sadistic anthropomorphic blue mouse, Itchy (voiced by Dan Castellaneta), who repeatedly maims and kills an anthropomorphic, hapless threadbare black cat, Scratchy (voiced by Harry Shearer).  The cartoon first appeared in ""The Tracey Ullman Show"" short ""The Bart Simpson Show"", which originally aired November 20, 1988.  The cartoon's first appearance in ""The Simpsons"" was in the 1990 episode ""There's No Disgrace Like Home"".  Typically presented as 15-to-60-second-long cartoons, the show is filled with gratuitous violence.  ""The Simpsons"" also occasionally features characters who are involved with the production of ""The Itchy & Scratchy Show"", including Roger Meyers Jr. (voiced by Alex Rocco, and, later, Hank Azaria), who runs the studio and produces the show."
46,Clown in the Dumps,"""Clown in the Dumps"" is the season premiere of the twenty-sixth season of the American animated television series ""The Simpsons"", and the 553rd episode of the series overall.  It first aired in the United States on the Fox network on September 28, 2014, with ""The Simpsons Guy"", a crossover episode of ""Family Guy"" with ""The Simpsons"", airing afterwards.  This episode was dedicated in memory of Louis Castellaneta, the father of ""The Simpsons"" voice actor Dan Castellaneta.  It was written by Joel H. Cohen and directed by Steven Dean Moore, with Don Hertzfeldt directing a sequence in the opening titles.  Jeff Ross, Sarah Silverman and David Hyde Pierce guest starred as themselves, with Jackie Mason and Kelsey Grammer reprising their respective roles as Rabbi Krustofski and Sideshow Bob, while Maurice LaMarche voiced several minor characters."
47,Grampa Simpson,"Abraham Jedediah Simpson II, often known as Grampa, is a fictional character in the animated television series ""The Simpsons"".  He made his first appearance in the episode entitled ""Grampa and the Kids"", a Simpsons short on ""The Tracey Ullman Show"".  Voiced by Dan Castellaneta, he is the father of Homer Simpson and the grandfather of Bart, Lisa and Maggie Simpson.  In the 1000th issue of ""Entertainment Weekly"", Grampa was selected as the Grandpa for ""The Perfect TV Family""."
48,Loan-a Lisa,"""Loan-a Lisa"" is the second episode of ""The Simpsons""' twenty-second season.  It originally aired on the Fox network in the United States on October 3, 2010.  In the episode, Lisa helps fund Nelson's bicycle company with money Grampa Simpson gives her as part of his inheritance, but after Nelson meets Facebook founder Mark Zuckerberg and is convinced he can be successful by dropping out of school, Lisa tries to convince Nelson to stay in school.  Meanwhile, Homer gets addicted to buying expensive items and returning them."
49,Mr. Plow,"""Mr. Plow"" is the ninth episode of ""The Simpsons""<nowiki>'</nowiki> fourth season.  It originally aired on the Fox network in the United States on November 19, 1992.  In the episode, Homer buys a snow plow and starts a business plowing driveways.  It is a huge success, and inspired by this, Barney Gumble starts a rival company and quickly puts Homer out of business.  The episode was written by Jon Vitti and directed by Jim Reardon.  The episode was well received, with some critics calling it one of the best in the show's history.  In 1993, Dan Castellaneta won his second Emmy Award for ""Outstanding Voice-Over Performance"" for this episode.  The episode was also submitted in the ""Outstanding Comedy Series"" category although ultimately it was not nominated."
50,Too Much Fun,"""Too Much Fun"" is a song written by Curtis Wright and Jeff Knight, and recorded by American country music singer Daryle Singletary.  It was released in November 1995 as the third single from his self-titled debut album.  It peaked at number 4 on the U.S. ""Billboard"" Hot Country Singles & Tracks chart and at number 10 on the ""RPM"" Country Tracks chart in Canada.  American mixed martial artist Chael Sonnen frequently uses this song for his entrance music in the UFC."
51,Arp High School,"Arp High School is a public high school located in Arp, Texas (USA) and classified as a 3A school by the UIL.  It is part of the Arp Independent School District located in far southeastern Smith County.  In 2015, the school was rated ""Met Standard"" by the Texas Education Agency."
52,Sharp (South Korean band),"Sharp (stylized as S♯arp) was a South Korean pop music vocal group in the late 1990s and early 2000s.  The group consisted of Chris Kim, Jang Seok-hyun, Seo Ji-young and Lee Ji-hye.  A male original member, John Kim (UPTOWN, Slow-Jam) quit the group after the first album.  They released five albums before breaking up.  Their last album was ""S♯arp Vol.  5 - StYlE."""
53,Orrall &amp; Wright,"Orrall & Wright was an American country music duo composed of Robert Ellis Orrall and Curtis Wright.  Both members had recorded solo albums and had charted singles of their own prior to Orrall & Wright's inception.  As Orrall & Wright, they charted two more singles and recorded a self-titled album on the Giant label."
54,"Next to You, Next to Me","""Next to You, Next to Me"" is a song written by Robert Ellis Orrall and Curtis Wright, and recorded by American country music group Shenandoah.  It was released in June 1990 as the lead-off single from their album ""Extra Mile"".  It was a Number One hit in both the United States and Canada.  It is also the band's longest-lasting number 1, at three weeks.  As of 2006, no other single from Columbia had spent three weeks atop the country charts."
55,Lee Ji-hye,"Lee Ji-hye (born January 11, 1980) is a South Korean singer and actress.  She was former member of pop group S#arp.  The group released six albums before their breakup in 2002, attributed to the feud between Lee and fellow female member Seo Ji-young.  As a solo artist, she has released several singles.  She was a former cast member in the variety show ""Infinite Girls Season 2"". She has been married on September 18, 2017."
56,Han Ji-hye,"Han Ji-hye (born Lee Ji-hye on June 29, 1984) is a South Korean actress."
57,Seo Ji-young,"Seo Ji-young (born June 2, 1981) is a South Korean singer and a former member of pop group S#arp.  The group released six albums before their breakup in 2002, attributed to the feud between Seo and fellow female member Lee Ji-hye.  Seo Ji-young bullied fellow member Lee Ji-hye until the company was forced to disband S#arp."
58,Curtis Wright,"Curtis Blaine Wrightt Jr. (born June 6, 1955 in Huntingdon, Pennsylvania) is an American country music artist.  He made his debut in 1989 with the single ""She's Got a Man on her Mind"" on a branch of MCA Records, before recording a solo album in 1992 on Liberty Records.  By 1994, he and frequent songwriting partner Robert Ellis Orrall had formed a duo known as Orrall & Wright, which also recorded one major-label album.  Wright later succeeded Brent Lamb in 2002 as the lead vocalist for the band Shenandoah, until being replaced by Jimmy Yeary in 2007.  He has toured as a member of Pure Prairie League as well."
59,Robert Ellis Orrall,"Robert Ellis Orrall (born May 4, 1955) is an American singer, songwriter, and record producer.  Signed to RCA Records in 1980, Orrall debuted that year with the album ""Fixation"".  His first Top 40 single was ""I Couldn't Say No"", a duet with Carlene Carter.  By 1990, Orrall had found success as a songwriter, having penned Number One singles for Shenandoah and Clay Walker.  He returned to RCA in 1991 and charted the singles ""Boom!  It Was Over"" and ""A Little Bit of Her Love"", from his first country music album, ""Flying Colors"".  Orrall then joined frequent songwriting partner Curtis Wright in the CMA-nominated duo Orrall & Wright, recording one more album and charting two singles.  They split up in 1994, however, and Orrall returned to his solo career, writing singles for Reba McEntire, Taylor Swift, and Lindsay Lohan, as well as producing records for Swift, Be Your Own Pet, and Love and Theft.  He also performs and records as an indie rock musician in the band Monkey Bowl."
60,1976 NBA draft,"The 1976 NBA draft was the 30th annual draft of the National Basketball Association (NBA).  The draft was held on June 8, 1976, before the 1976–77 season.  In this draft, 18 NBA teams took turns selecting amateur U.S. college basketball players and other eligible players, including international players.  The first two picks in the draft belonged to the teams that finished last in each conference, with the order determined by a coin flip.  The Atlanta Hawks won the coin flip and were awarded the first overall pick, while the Chicago Bulls were awarded the second pick.  The Hawks then traded the first pick to the Houston Rockets before the draft.  The remaining first-round picks and the subsequent rounds were assigned to teams in reverse order of their win–loss record in the previous season.  The New York Knicks forfeited their first-round draft pick due to their illegal signing of George McGinnis whose rights were held by the Philadelphia 76ers.  The 76ers, the Golden State Warriors and the Buffalo Braves also forfeited their second, third and fourth-round pick respectively due to their participation in 1975 supplementary draft American Basketball Association (ABA) players who had never been drafted in the NBA.  A player who had finished his four-year college eligibility was eligible for selection.  If a player left college early, he would not be eligible for selection until his college class graduated.  Before the draft, 26 college underclassmen were declared eligible for selection under the ""hardship"" rule.  13 of them withdrew before the draft, leaving only 13 early entry candidates eligible for selection.  These players had applied and gave evidence of financial hardship to the league, which granted them the right to start earning their living by starting their professional careers earlier.  The draft consisted of 10 rounds comprising the selection of 173 players.  On August 8, 1976, the league also hosted a Dispersal draft for ABA players from the Kentucky Colonels and Spirits of St. Louis, who were not included in the ABA–NBA merger."
61,2003–04 Chicago Bulls season,"The 2003–04 NBA season was the Bulls' 38th season in the National Basketball Association.  During the offseason, the Bulls re-signed free agent and former All-Star forward Scottie Pippen, who won championships with the team in the 1990s along with Michael Jordan.  However, they continued to struggle finishing last place in the Central Division with a 23–59 record, missing the playoffs for the sixth straight season.  Following the season, Pippen retired and Jamal Crawford was traded to the New York Knicks.  (See ""2003–04 Chicago Bulls season#Regular season"")"
62,Ennis Whatley,"Ennis Whatley (born August 11, 1962) is a retired American professional basketball player who was selected by the Kansas City Kings in the first round (13th overall) of the 1983 NBA draft.  Whatley played in ten NBA seasons.  A 6'3"" (1.90 m) and 177 lb (80 kg) guard, he played for the Chicago Bulls, then as backcourt partner of a rookie named Michael Jordan, the Cleveland Cavaliers, Washington Bullets, San Antonio Spurs, Atlanta Hawks, Los Angeles Clippers and Portland Trail Blazers."
63,2000–01 Chicago Bulls season,"The 2000–01 NBA season was the Bulls' 35th season in the National Basketball Association.  The Bulls continued to struggle losing 42 of their first 48 games at the All-Star break, as they finished 15–67, the worst record in the Central Division and the worst league record.  Following the season, second-year star Elton Brand was traded to the Los Angeles Clippers.  (See ""2000–01 Chicago Bulls season#Regular season"")"
64,1993–94 Los Angeles Clippers season,"The 1993–94 NBA season was the Clippers' 24th season in the National Basketball Association, and their 10th season in Los Angeles.  In the offseason, the Clippers signed free agent Mark Aguirre, who won championships with the Detroit Pistons.  Under new head coach Bob Weiss, the Clippers played slightly under .500, but later on struggled posting a 7-game losing streak between December and January.  At midseason, the Clippers traded Danny Manning, who was selected for the 1994 NBA All-Star Game to the Atlanta Hawks for All-Star forward Dominique Wilkins, while Aguirre was released as the team signed undrafted rookies Bo Outlaw and Harold Ellis.  Wilkins averaged 29.1 points per game in 25 games for the team.  However, the Clippers would lose 14 of their final 16 games and finish last place in the Pacific Division with a 27–55 record."
65,Elton Brand,"Elton Tyron Brand (born March 11, 1979) is an American retired professional basketball player.  After playing college basketball for Duke, he was selected with the first overall pick in the 1999 NBA draft by the Chicago Bulls, and later played for the Philadelphia 76ers, the Los Angeles Clippers, Dallas Mavericks and Atlanta Hawks.  A two-time NBA All Star and an All-NBA Second Team selection in 2006, Brand is currently the General manager of the Delaware 87ers."
