question,answer,classification,retrieved_context,final_answer,classification_time,decomposition_time,retrieval_time,generation_time,total_time,total_time_without_classification,level
 Are the Comx-35 and Sharp MZ both personal types of computers?,yes,singlehop,"['The Sharp MZ is a series of personal computers sold in Japan and Europe (particularly Germany and Great Britain) by Sharp beginning in 1978.', 'The COMX-35 was a home computer that was one of the very few systems to use the RCA 1802 microprocessor, the same microprocessor that is also used in some space probes.', 'Examples of a digital electronic computers include the IBM PC, the Apple Macintosh as well as modern smartphones']",Yes.,3.697766781,0,0.005587816,2.814545631,6.517900229,2.820133448,easy
"Who, Diane Wilkins or Steven Spielberg, is considered one of the founding pioneers of the New Hollywood era?",Steven Allan Spielberg,singlehop,"['He is considered one of the founding pioneers of the New Hollywood era, as well as being viewed as one of the most popular directors and producers in film history', 'He is considered one of the founding pioneers of the New Hollywood era, as well as being viewed as one of the most popular directors and producers in film history', 'Steven Spielberg (born December 18, 1946) is an American director, producer, and screenwriter']",Steven Spielberg,3.698191643,0,0.003432989,3.034792185,6.736416817,3.038225174,easy
"Amy Lee and TISM, are related to which genre of music?",rock,singlehop,"['Amy Lynn Hartzler (née Lee ; born December 13, 1981), known professionally as Amy Lee, is an American singer, songwriter, record producer and multi-instrumentalist', 'TISM (an acronym of This Is Serious Mum) were a seven-piece anonymous alternative rock band from Melbourne, Australia.  The group were formed on 30 December 1982 by vocalist/drummer Humphrey B', 'The song was written by lead vocalist Amy Lee and produced by Dave Fortman.  According to Lee it was written for her long-time friend and future husband, Josh Hartzler']",Alternative rock,3.664999008,0,0.002906561,2.788011074,6.455916643,2.790917635,easy
Which airport offers no passenger airline services since United Express ended flights to San Francisco; Cherry Capital Airport or Chico Municipal Airport?,Chico Municipal Airport,singlehop,"['The airport has seen airline jets, but no passenger airline serves Chico since United Express ended flights to San Francisco.', 'In addition to general aviation, the airport has scheduled passenger flights to and from San Francisco on United Express.', 'Stol Air Commuter operated scheduled passenger air service connecting several cities in the San Francisco Bay Area as well as northern California with San Francisco International Airport (SFO)']",Cherry Capital Airport,3.730246782,0,0.000620365,2.814815044,6.545682192,2.81543541,easy
Nicole Mitchell is an American on-camera meteorologist that is assigned to what Air Force base named after a Mississippi native killed in France during the First World War? ,Keesler Air Force Base,singlehop,"['Nicole Lynn Mitchell (born October 10, 1974) is an American on-camera meteorologist for WFOR-TV in Miami, Florida.  Mitchell is also a Major in the U.S', 'She was one of the members of ""The Weathermen"" which was the radical student activist group.  In 2002, she was honored at the 2002 Women Who Dared event in Boston.', 'The base is named in honor of aviator 2d Lt Samuel Reeves Keesler, Jr., a Mississippi native killed in France during the First World War']",Keesler Air Force Base,3.923924446,0,0.005288839,2.9163692,6.845582485,2.921658039,easy
"Pseudotsuga, found in North America and Eastern Asia which has also been classified as 'Abies' and 'Tsuga' and Huernia which is found in Eastern and Southern Africa and closely related to 'Stapelia' and 'Hoodia' are both types of what?",genus,multihop,"['Pseudotsuga is a genus of evergreen coniferous trees in the family Pinaceae.  Common names include Douglas fir, Douglas-fir, Douglas tree, and Oregon pine', 'The genus name has also been hyphenated as ""Pseudo-tsuga"".', '"" Pseudotsuga menziesii"" is widespread in western North America and is an important source of timber']",Types of coniferous trees.,3.760041714,0,0.00680542,2.921531439,6.688378572,2.928336859,easy
Juan Sebastián Cabal and John Lloyd play what sport?,tennis,singlehop,"['Juan Sebastián Cabal (born 25 April 1986) is a Colombian professional tennis player.  His highest doubles ranking is World No. 18 and World No. 184 in singles', 'Juan Sebastián Cabal and Carlos Salamanca were the defending champions but Cabal decided not to participate. <br>', ""Juan Sebastián Cabal and Alejandro Falla were the defending champions, but Cabal didn't start this year.""]",Tennis,3.692187548,0,0.003350258,2.779255867,6.474793673,2.782606125,easy
Kim Lip is an album made by which South Korean girl group?,Loona,singlehop,"[""Kim Lip is the sixth single album from South Korean girl group Loona's pre-debut project"", ""JinSoul (also known as Kim Lip & JinSoul) is the seventh single album from South Korean girl group Loona's pre-debut project"", 'The album consists of five tracks, including the title track, ""Girl Front"".  The unit is made up of the members Kim Lip, JinSoul and Choerry.']",Loona's pre-debut project,4.032202005,0,0.004814386,3.158981085,7.195997477,3.163795471,easy
"The Valigeria Franzi was an Italian manufacturer of leather bags and luggage founded in Milan in 1864 by Rocco Franzi, Guccio Gucci worked for the company until he set up Gucci in what year, an Italian luxury brand of fashion and leather goods, part of the Gucci Group, which is owned by the French holding company Kering?",1921,singlehop,"['The Valigeria Franzi was an Italian manufacturer of leather bags and luggage founded in Milan in 1864 by Rocco Franzi.  By the early 20th century, it was a supplier to royalty and nobility', 'Gucci ( ; ] ) is an Italian luxury brand of fashion and leather goods, part of the Gucci Group, which is owned by the French holding company Kering', 'Gucci was founded by Guccio Gucci in Florence in 1921.']",Guccio Gucci worked for Valigeria Franzi until he set up Gucci in 1921.,4.2303195,0,0.000642776,3.531523705,7.762485981,3.532166481,easy
"What 45th head of state and head of government of the United States, is associated with a parish church of the Episcopal Diocese of New York?",Franklin Delano Roosevelt,singlehop,"['on the south by the Episcopal Diocese of Central Pennsylvania and on the west by the Episcopal Diocese of Western New York', 'The Episcopal Diocese of Rochester is the diocese of the Episcopal Church in the United States of America with jurisdiction over eight counties in west central New York', 'Previously, she was a priest in the Episcopal Diocese of Central New York, the Episcopal Diocese of Newark, and the Episcopal Diocese of California']",Sheila Nealon,3.906711578,0,0.004073858,2.850558281,6.761343718,2.854632139,easy
"""Remember the sabbath day, to keep it holy"" is one of the Ten Commandments, also known as the Decalogue, are a set of biblical laws relating to ethics and worship, which play a fundamental role, in which religions?","Judaism, Christianity, and Islam",singlehop,"['The Ten Commandments, also known as the Decalogue, are a set of biblical laws relating to ethics and worship, which play a fundamental role in Judaism, Christianity, and Islam', '""Remember the sabbath day, to keep it holy"" is one of the Ten Commandments found in the Hebrew Bible.', 'possibly connected to the third and seventh imperatives of the Ten Commandments: """"Remember the Sabbath day, to keep it holy"" and ""Thou shalt not commit adultery""']","Judaism, Christianity, and Islam",3.780779123,0,0.00505209,3.214338303,7.000169516,3.219390392,easy
"What artist that grew up in Dumont, New Jersey, released an album on May 13, 1997 that marked the addition of their new singer?",Michael Emanuel,singlehop,"['Graves grew up in Dumont, New Jersey.  He has also released several albums as a solo artist.', 'He is most well known as the lead singer for the 1990s re-incarnation of the Misfits from 1995 to 1998 and again from late 1998 until late 2000.  Graves grew up in Dumont, New Jersey', 'which was featured on their past two albums']",Michael Graves.,3.646745682,0,0.006005526,2.815217972,6.467969179,2.821223497,easy
NFL Street 2 Is what kind of game that features Jeremy Shockey?,American football video game,singlehop,"['NFL Street 2 is American football video game developed by EA Sports BIG and published by Electronic Arts.  It was originally released for the PlayStation 2, GameCube and Xbox on December 22, 2004', 'NFL Street is an American football video game developed by EA Tiburon and published by Electronic Arts.  It was originally released for the PlayStation 2, GameCube and Xbox on January 13, 2004', 'It features then-New York Giants tight end Jeremy Shockey and rapper Xzibit on the cover.  The game is compatible with ""Madden NFL 2006"", as players can import their ""Own The City"" players to it']",NFL Street 2 features Jeremy Shockey.,4.02008152,0,0.010136127,3.244001389,7.274219036,3.254137516,easy
"What actress portrayed the wife of John Proctor in the 1996 American historical drama film, The Crucible?",Joan Allen,singlehop,"['It was directed by Nicholas Hytner and stars Daniel Day-Lewis as John Proctor, Winona Ryder as Abigail Williams, Paul Scofield as Judge Thomas Danforth, Bruce Davison as Reverend Parris', 'Elizabeth Proctor (née Bassett; 1652 – unknown) was convicted of witchcraft in the Salem Witch Trials of 1692.  She was the wife of John Proctor, who was also convicted; he was executed.', 'The Crucible is a 1996 American historical drama film written by Arthur Miller adapting his play of the same title, inspired by the Salem witchcraft trials']",Emily Perkins,3.720239639,0,0.001068592,3.114890575,6.836198807,3.115959167,easy
"Nike Flywire is a thread, composed of Vectran or nylon, and developed by which American multinational corporation that is engaged in the design, development, manufacturing, and worldwide marketing and sales of footwear, apparel, equipment, accessories, and services?","Nike, Inc.",singlehop,"['Nike Flywire is a thread, composed of Vectran or nylon, and developed by Nike, used in the upper of a shoe.  The goal of Flywire is to minimize weight and maximize support', 'Shoes containing Flywire became available for consumer purchase in 2008.', 'Nike, Inc']",Nike,3.972106934,0,0.000626564,2.763753414,6.736486912,2.764379978,easy
Who fought as both a welter weight and middle weight under teacher Mark Dellagrotte?,Patrick Côté,singlehop,"['his professional fighting weight varied from 128 lb , i', 'he was world champion as a super middle weight, light heavyweight and heavyweight', 'and World Boxing Union (WBU) light middleweight title against Mehrdad Takalobigashi, his professional fighting weight varied from 125 lb , i']",John Hackman,3.656862974,0,0.010862827,2.787917852,6.455643654,2.79878068,easy
What genre is the Dumb and Dumber Moive?,gross-out humor,singlehop,"['""The Three Stooges"", and ""Dumb and Dumber To""', 'Dumb and Dumber To is a 2014 American comedy film co-written and directed by Bobby and Peter Farrelly', 'They have made eleven films, including ""Dumb and Dumber"", ""Kingpin"", ""Hall Pass"", ""Me, Myself & Irene"", ""Shallow Hal"", ""Stuck on You"", ""Osmosis Jones"", ""There\'s Something About Mary""']",Comedy,3.678320646,0,0,2.805423021,6.483743668,2.805423021,easy
"Who is a Canadian retired professional ice hockey defenceman who played for nine teams in the National Hockey League, who had a Canadian ice hockey executive currently serving as Senior Advisor to the President-General Manager of the New York Rangers negotiated the playing and marketing contract?",Paul Douglas Coffey,multihop,"['1968) is a Canadian retired professional ice hockey defenceman who played in one National Hockey League game for the New York Rangers during the 1991–92 NHL season', 'He played for the New York Rangers, Quebec Nordiques, and Toronto Maple Leafs', '1992) is a Canadian professional ice hockey defenceman currently playing for the Grand Rapids Griffins of the American Hockey League (AHL) while under contract to the Detroit Red Wings of the']",Mark Recchi.,4.175089359,0,0.003555775,2.858547449,7.037192583,2.862103224,easy
MAKO Surgical Corp accepted a deal from Stryker for what amount?,$1.65B,singlehop,"['MAKO Surgical Corp. was a publicly traded medical device company based in Florida.  On September 25, 2013, the Board of Directors of Mako Surgical accepted a deal to be acquired by Stryker for $1.65B', 'Stryker Corporation () is a Fortune 500 medical technologies firm based in Kalamazoo, Michigan', 'Dr. Frederic Moll co-founded Intuitive Surgical with John Freund and Rob Younge, and was Founder & CEO of Hansen Medical.  He was a board member of Mako Surgical until its sale in 2013']",$1.65B,3.740459204,0,0,3.194908857,6.935368061,3.194908857,easy
What do La dame blanche and Il prigioniero have in common?,opera,singlehop,"['La dame blanche (""The White Lady"") is an opéra comique in three acts by the French composer François-Adrien Boieldieu', 'The Emprise de l\'Escu vert à la Dame Blanche (""Enterprise of the Green Shield with the White Lady"") was a chivalric order founded by Jean Le Maingre and twelve other knights in 1399', '000 times by the company: ""Cavalleria Rusticana"", ""Le chalet"", ""La dame blanche"", ""Le domino noir"", ""La fille du régiment"", ""Lakmé"", ""Manon"", ""Mignon"", ""Les noces de Jeannette"", ""Le pré aux clercs""']",La dame blanche and Il prigioniero have a common connection: both are opera titles.,3.575120687,0,0.000670195,3.180047035,6.755837917,3.18071723,easy
"Raymerville - Markville East, is a community in Markham, Ontario, the name ""Markville"" came from the local major shopping mall, CF Markville (also known as ""Markville Shopping Centre"") is a shopping mall located at 5000 Highway 7 East (at McCowan Road) in Markham, Ontario, in which country?",Canada,singlehop,"['CF Markville (also known as ""Markville Shopping Centre"") is a shopping mall located at 5000 Highway 7 East (at McCowan Road) in Markham, Ontario, Canada', 'Raymerville - Markville East (2006 population 10,562) ""(Census Tract No. 5350400.03 and 5350400.12)"" is a community in Markham, Ontario, Canada', 'The community is referred to as ""Markville East"" because it is located immediately east of Markville Shopping Centre.']",Canada,3.865421295,0,0.000629663,2.873663902,6.739714861,2.874293566,easy
Which film that stars Will Smith is James Karen known for acting in?,The Pursuit of Happyness,singlehop,"['James Karen (born Jacob Karnofsky; November 28, 1923) is an American character actor of Broadway, film and television', 'The film was directed by Sean Anders, and stars Josh Zuckerman, Amanda Crew, Clark Duke, Seth Green, and James Marsden, while Katrina Bowden, Alice Greczyn, Michael Cudlitz, Dave Sheridan', 'The film stars James Karen as Michael Kenneth Marshall, a young medical student who goes through medical training at Columbia and Cornell']",Back to the Future Part III.,3.821376085,0,0.002063274,2.900456429,6.723895788,2.902519703,easy
"Blackjack Switch is a casino gambling game invented by Geoff Hall, and patented in what year, natural blackjacks are paid 1:1 instead of the standard 3:2, and a dealer hard 22 pushes all player hands except a natural, a croupier or dealer is someone appointed at a gambling table to assist in the conduct of the game, especially in the distribution of bets and payouts?",2009,singlehop,"['Blackjack Switch is a casino gambling game invented by Geoff Hall and patented in 2009', 'Natural blackjacks are paid 1:1 instead of the standard 3:2, and a dealer hard 22 pushes all player hands except a natural.', 'for his record as a blackjack player and his innovations in professional gambling techniques']","A croupier is someone appointed at a gambling table to assist in the conduct of the game, especially in the distribution of bets and payouts.",4.024771452,0,0.008230686,3.375427961,7.408430099,3.383658648,easy
Who was the barman that named a drink after the first person to walk on the moon?,invented cocktails,multihop,"['Truman and Richard Nixon.  He also invented cocktails to commemorate the first walk on the moon in 1969 by Neil Armstrong, and the American and Russian link-up in space in 1975.', 'the first person to walk on the Moon and a former naval aviator who served in the Korean War', 'Neil Alden Armstrong (August 5, 1930 – August 25, 2012) was an American astronaut, engineer, and the first person to walk on the Moon']",Bobby Busch.,4.057897806,0,0.000544786,2.858258486,6.916701078,2.858803272,easy
"Does University of Arkansas have less students than California State University, Fullerton? ",yes,singlehop,"['and its approximately 5,800 graduate student body is also the largest in the CSU and one of the largest in all of California', 'With a total enrollment of about 40,200 it has the largest student body out of the 23-campus California State University (""CSU"") system, and its approximately 5', 'The two-year college has an enrollment of 17,044 students and covers 82 acre']",No.,3.810927391,0,0,2.772704124,6.583631516,2.772704125,easy
"The Invasion is a 2007 science fiction horror thriller film starring who, which is an Australian actress, producer and occasional singer?",Nicole Kidman,singlehop,"['The Invasion is a 2007 science fiction horror thriller film starring Nicole Kidman and Daniel Craig, directed by Oliver Hirschbiegel', ""Invaders from Mars is a 1986 science fiction horror film, directed by Tobe Hooper from a screenplay by Dan O'Bannon and Don Jakoby"", 'Australia is a 2008 Australian-British-American romantic historical adventure drama film directed by Baz Luhrmann and starring Nicole Kidman and Hugh Jackman']",Nicole Kidman,3.695188999,0,0.011482477,2.838307858,6.544979334,2.849790335,easy
"What is a center-right to right-wing political party in Israel, was a political party in Israel, and is one of the ancestors of A secular party?",Likud,singlehop,"['Yisrael Beiteinu (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ\u200e , lit.  ""Israel Our Home"") is a secularist and right-wing nationalist political party in Israel', 'In addition, it was the first time in Israel that a right-wing party won the plurality of the votes', ""The party's base has traditionally been secular, Russian-speaking Israelis""]","Yisrael Beiteinu is a center-right to right-wing political party in Israel, was a political party in Israel, and is one of the ancestors of a secular party.",3.900098562,0,0.00965786,3.760190487,7.669946909,3.769848347,easy
Who is a brother of Peter Gusenberg and victim of a massacre?,Frank Gusenberg,singlehop,"['Peter Gusenberg a.k.a', 'Peter Gusenberg participated in an infamous attack on Al Capone during a vicious gang war.', ""Frank Gusenberg (October 11, 1893 – February 14, 1929) was a German-American contract killer and a victim of the Saint Valentine's Day massacre in Chicago, Illinois.""]",Frank Gusenberg,3.989256859,0,0.002022266,2.762137175,6.7534163,2.764159441,easy
What progressive American magazine did a review of the 2009 LP of the Mirrors?,Mother Jones,singlehop,"['New York is an American biweekly magazine concerned with life, culture, politics, and style generally, and with a particular emphasis on New York City', 'Mirrors (a.k.a. the Mirrors) were a rock band from Cleveland, Ohio originally active 1973 - 1975, although some accounts indicate they formed as early as 1971 or 1972', 'Formerly titled The Cosmopolitan']",New York magazine.,3.883690834,0,0.009529352,2.829931498,6.723151684,2.83946085,easy
"Are Monastery of the Transfiguration, Kinaliada and Süreyya Opera House both Greek Orthodox monasteries? ",no,singlehop,"['The Transfiguration Monastery (Bulgarian: Преображенски манастир , ""Preobrazhenski manastir"") or the Monastery of the Holy Transfiguration of God (манастир ""Свето Преображение Господне""', 'The Monastery of the Transfiguration, known locally as Hristo [Christ] Monastery', 'and one of the largest and oldest Eastern Orthodox monasteries in Europe']","Yes, the Monastery of the Transfiguration is an Eastern Orthodox monastery.",3.769710779,0,0.009102106,3.067642927,6.846455812,3.076745033,easy
"Who is one of the principal originators of what is commonly known as the body horror or visceral horror genre, Josh Trank or David Cronenberg ?",David Paul Cronenberg,multihop,"['Cronenberg is one of the principal originators of what is commonly known as the body horror or visceral horror genre', 'He is often likened to Canadian director David Cronenberg due to his unflinching eye for Body Horror', 'Body horror, biological horror, organic horror or visceral horror is horror fiction in which the horror is principally derived from the unnatural graphic transformation']",David Cronenberg,3.750729084,0,0.000507832,2.824398756,6.575635672,2.824906588,easy
"What is a major airline operating flights from Kuala Lumpur International Airport and from secondary hubs in Kota Kinabalu and Kuching to destinations throughout Asia, Oceania and Europe, whos executive officer is a veteran in the tourism and aviation industry with over 30 years of experience in related fields ?",Malaysia Airlines Berhad,multihop,"['branded as Malaysia Airlines, is a major airline operating flights from Kuala Lumpur International Airport and from secondary hubs in Kota Kinabalu and Kuching to destinations throughout Asia', 'Peter Brendan Bellew is the group managing director and chief executive officer of Malaysia Airlines', 'Kuala Lumpur International Airport (KLIA) (Malay: ""Lapangan Terbang Antarabangsa Kuala Lumpur"") (IATA: KUL']",Malaysia Airlines.,4.190043926,0,0.001185656,3.135528326,7.326757908,3.136713982,easy
"Why is the ethnomusicologist, Bela Viktor Janos Bartok's Piano Concerto No. 2 in G major considered notorious?",is notorious for being one of the most difficult pieces in the repertoire.,singlehop,"[""Béla Bartók's Piano Concerto No. 2 in G major, Sz.  95, BB 101 (1930–31) is the second of three piano concerti, and is notorious for being one of the most difficult pieces in the repertoire."", 'Béla Viktor János Bartók ( ; ] ; 25 March 1881 – 26 September 1945) was a Hungarian composer, pianist and an ethnomusicologist', 'The Concerto for Piano and Orchestra in G minor, Op. 33, is the only piano concerto by Czech composer Antonín Dvořák']",The Piano Concerto No. 2 in G major is considered notorious because it is one of the most difficult pieces in the repertoire.,3.992108107,0,0.005375147,3.396297932,7.393781185,3.401673079,easy
Were both Tian Zhuangzhuang and Marcel Varnel a chinese film director and producer? ,no,singlehop,"['Tian Zhuangzhuang (, ] ; born April 1952 in Beijing, China) is a Chinese film director and producer.', 'A graduate of the Beijing Film Academy and a contemporary of such acclaimed directors as Zhang Yimou, Chen Kaige, and Tian Zhuangzhuang', ""Chen Kaige, and Tian Zhuangzhuang, Zhang Junzhao was a prominent early member of China's Fifth Generation filmmakers""]","Tian Zhuangzhuang was a Chinese film director and producer, but Marcel Varnel was not.",3.644601345,0,0.008361816,3.260623455,6.913586617,3.268985271,easy
"What is the name of the song, whose tune was originally composed for the 2006 comedy movie Jatra?",Chikni Chameli,singlehop,"['Jatra (Marathi: जत्रा ) is a 2006 Indian Marathi-language comedy movie.  It is considered one of the more popular films starring actors Bharat Jadhav and Siddarth Jadhav', 'The music was composed by the duo Ajay and Atul Gogavale.  ""Jatra"" features the song Kombadi Palali, which at the time became a \'superhit\'', 'It has music given by Ajay-Atul. The movie was blockbuster in Marathi Box office.The movie is remake of popular Hindi movie ""Chalti Ka Naam Gaadi"".']",Kombadi Palali,3.978055,0,0.009627581,2.902679682,6.890362263,2.912307263,easy
"Who is an American singer, songwriter, actress and LGBT rights activist who released a 1985 song  for the film ""The Goonies""?","Cynthia Ann Stephanie ""Cyndi"" Lauper",singlehop,"['Her success continued with the soundtrack for the motion picture ""The Goonies"" and her second record ""True Colors"" (1986)', '""The Goonies \'R\' Good Enough"" is a 1985 song by American singer Cyndi Lauper.  It was released as a single for the film ""The Goonies"".  It was her fifth Top 10 single on the Hot 100.', 'Cynthia Ann Stephanie ""Cyndi"" Lauper (born June 22, 1953) is an American singer, songwriter, actress and LGBT rights activist.  Her career has spanned over 30 years']",Cyndi Lauper,3.952525139,0,0.000663042,2.923703671,6.876891851,2.924366713,easy
"When was Elvis Presley's ""G.I. Blues"" which was released for the motion picture ""G.I. Blues""'s soundtrack?",Oct-60,singlehop,"['""G.I. Blues"" is a song first recorded by Elvis Presley as part of the soundtrack for his 1960 motion picture ""G.I. Blues"".  Its first LP release was on the eponymous soundtrack album in October 1960.', 'G.I. Blues is the eleventh album by American singer and musician Elvis Presley, released by RCA Victor in mono and stereo, LPM/LSP 2256, in October 1960', '""Wooden Heart"" (""Muss i denn "" ""lit.""  Must I then) is a song best known for its use in the 1960 Elvis Presley film ""G.I. Blues""']",Oct-60,3.74456358,0,0.009975433,2.855004072,6.609543085,2.864979506,easy
"Iuty was an ancient Egyptian vizier presumably of the Late New Kingdom whose family tomb made up of bricks was discovered in December 1964 by the Egyptian archaeologist Shafik Farid, in the so-called ""Cemetery of the Nobles"" of Bubastis (Tell Basta), A calcite canopic jar (representing Duamutef) belonging to Iuty’s son, the high-priest of which ,  goddess in ancient Egyptian religion, worshiped as early as the 2nd Dynasty (2890 BCE)?",Bastet,singlehop,"['Iuty was an ancient Egyptian vizier presumably of the Late New Kingdom whose family tomb made up of bricks was discovered in December 1964 by the Egyptian archaeologist Shafik Farid', 'A calcite canopic jar (representing Duamutef) belonging to Iuty’s son, the high-priest of Bastet, Ay, was also found in the same tomb', 'Iuty’s tomb architecture has remained unpublished']",Late New Kingdom,3.915010929,0,0.000552654,2.872722149,6.788285732,2.873274803,easy
"""Gasoline"" is a song by which American singer and songwriter?",Halsey,singlehop,"['""Gasoline"" is a song by American singer and songwriter Halsey.  The track is included on the deluxe edition of her debut studio album, ""Badlands"" (2015)', '""Fire Meet Gasoline"" is a song recorded by Australian singer and songwriter Sia for her sixth studio album, ""1000 Forms of Fear"" (2014).  It was written by Sia, Greg Kurstin and Samuel Dixon', 'With a new singer, the album also introduced a new Fuel logo.']",Sia,3.988069534,0,0.001789808,2.811163664,6.801023006,2.812953472,easy
