translated_question,translated_answer,classification,retrieved_context,final_answer,classification_time,decomposition_time,retrieval_time,generation_time,total_time,level
Comx-35 اور شارپ MZ دونوں ذاتی کمپیوٹر کی اقسام ہیں؟,"ہاں، ہاں",singlehop,"['COMX-35 ایک گھریلو کمپیوٹر تھا جو آر سی اے 1802 مائکرو پروسیسر کا استعمال کرنے والے بہت کم نظاموں میں سے ایک تھا ، وہی مائکرو پروسیسر جو کچھ خلائی تحقیقات میں بھی استعمال ہوتا ہے۔', '۔ روحانیت جلد ہی دوسرے ممالک میں پھیل گئی ، جس میں آج بین الاقوامی روحانی کونسل میں 35 ممالک کی نمائندگی کی گئی ہے۔', 'نیپورت-ڈیلج 39 (انگریزی: Nieuport-Delage 39) ایک فرانسیسی طیارہ تھا جو 1920 کی دہائی کے آخر میں تیار کیا گیا تھا']","COMX-35 گھریلو کمپیوٹر ہے نہیں ، یہ ایک مائکرو پروسیسر کا استعمال کرنے والا نظام تھا۔ شارپ MZ کوئی ذاتی کمپیوٹر نہیں ہے ، یہ دونوں مختلف اقسام ہیں۔",3.065171242,0,0.047005177,2.692491055,5.804667473,easy
ڈیان ولکنز اور اسٹیون اسپیلبرگ نیو ہالی ووڈ کے بانیوں میں سے ایک ہیں,اسٹیون ایلن اسپیلبرگ,singlehop,"['۔ ایلیونر نے بعد میں اپنے کزن فرینکلن ڈیلانو روزویلٹ سے شادی کی۔', '۔ اس سیریز میں ہیوگو ویونگ نے انگریزی کے استاد کی حیثیت سے اداکاری کی ، اور اس میں کیٹ بلانچٹ بھی شامل تھیں۔', '۔ اس کے بعد کمپنی نے پیٹر ایڈکیسن کو سی ای او کے طور پر بھرتی کیا۔']","نہیں، یہ نہیں ہیں کیونکہ کンテکスト میں کوئی انہیں منسوب نہیں گیا ہے۔",4.012699127,0,0.050173759,1.710237503,5.77311039,easy
"ایمی لی اور ٹی ایس ایم ، موسیقی کی کس صنف سے متعلق ہیں؟",چٹان,singlehop,"['۔ اس کی بنیادی سرگرمی مینلینڈ چین میں لکسن مسافر کاروں کی پیداوار، تقسیم اور فروخت ہے۔', 'لے لی تھی ، اور بعد میں بطور سیکرٹری استعفیٰ دے دیا تھا', '۔ اس کی بنیادی سرگرمی چین میں ڈی ایس آٹوموبائلز برانڈ مسافر کاروں کی تیاری اور فروخت ہے۔']","وہ نہیں، وہ لکسن مسافر کاروں کی پیداوار، تقسیم اور فروخت سے متعلق ہے۔",3.104599476,0,0.058515787,1.357700825,4.520816088,easy
"ریاستہائے متحدہ امریکہ کے ہوائی اڈے پر ، یونائیٹڈ ایکسپریس نے سان فرانسسکو کے لئے پروازیں ختم کردی ہیں ، اور یہ چیری کیپیٹل ہوائی اڈے اور چیکو میونسپل ہوائی اڈے کے درمیان ہے۔",چیکو میونسپل ہوائی اڈے,singlehop,"['رائل نیوی برطانیہ کی بحری جنگی فورس ہے۔ اگرچہ ابتدائی قرون وسطی کے دور سے ہی انگریزی بادشاہوں نے جنگی جہازوں کا استعمال کیا تھا ، لیکن پہلی بڑی سمندری مصروفیات فرانس کی بادشاہی کے خلاف سو سالہ جنگ میں لڑی گئیں', '۔ کارنر اسٹور ریاستہائے متحدہ امریکہ اور کینیڈا کے انگریزی بولنے والے صوبوں میں فرم کا بنیادی خوردہ برانڈ ہے۔ کینیڈا کے فرانسیسی بولنے والے صوبوں میں ، ڈیپینور ڈو کوئن کمپنی کا خوردہ برانڈ ہے۔', 'ریاستہائے متحدہ امریکہ میں ، ریاستہائے متحدہ امریکہ کے وسطی ٹینیسی میں ایک ایپیسکوپل چرچ کا ایک ڈائیوسیس ہے۔ اس کے بعد ، ریاستہائے متحدہ امریکہ کے مشرقی ٹینیسی میں ایک ایپیسکوپل ڈائیوسس قائم ہوا']","ریاستہائے متحدہ امریکہ میں ، ریاستہائے متحدہ امریکہ کے وسطی ٹینیسی میں ایک ایپیسکوپل چرچ کا ایک ڈائیوسیس ہے۔",3.323529005,0,0.058569908,2.523462296,5.905561209,easy
نیکول مچل ایک امریکی موسمیاتی ماہر ہیں جو پہلی جنگ عظیم کے دوران فرانس میں مارے گئے مسیسیپی کے باشندے کے نام پر ایئر فورس کے کس اڈے میں تعینات ہیں؟,کیسلر ایئر فورس بیس,multihop,"['جیف باؤمن جونیئر ایک امریکی مصنف ہیں جنہوں نے بوسٹن میراتھن بم دھماکے میں اپنی ٹانگیں کھو دیں اور بم دھماکے کے بعد لی گئی ایک مشہور تصویر کا موضوع تھا', 'سکاٹ رامسی ایک امریکی اوپیرا ٹینر ہے جس نے دنیا کی بہت سی بہترین اوپیرا کمپنیوں اور آرکسٹرا کے ساتھ پرفارم کیا ہے', 'نیپال کی وفاقی جمہوری جمہوریہ نے روایتی طور پر غیر منسلک پالیسی کو برقرار رکھا ہے اور پڑوسی ممالک کے ساتھ دوستانہ تعلقات سے لطف اندوز ہوتا ہے']","نیپال کی وفاقی جمہوری جمہوریہ نے روایتی طور پر غیر منسلک پالیسی کو برقرار رکھا ہے اور پڑوسی ممالک کے ساتھ دوستانہ تعلقات سے لطف اندوز ہوتا ہے 

(کوئی متعلقہ معلومات نہیں مل رہی، لہذا سوال کا جواب نہیں دے سکتا)",4.770928144,0,0.057033777,3.509042501,8.337004423,easy
"""پسیوڈوٹسوگا ، جو شمالی امریکہ اور مشرقی ایشیا میں پایا جاتا ہے ، جسے """"ابیس"""" اور """"ٹسوگا"""" کے طور پر بھی درجہ بندی کیا گیا ہے ، اور ہورنیا ، جو مشرقی اور جنوبی افریقہ میں پایا جاتا ہے اور """"اسٹیپیلیا"""" اور """"ہودیا"""" سے قریب سے متعلق ہے ، دونوں کس قسم کے ہیں؟""",نسل,multihop,"['۔ یہ شو نیک ٹونز نیٹ ورک کی پہلی اصل آدھے گھنٹے کی سیریز ہے ، جو اسی عرصے کے دوران خریدی گئی تھی جیسے کہ دیگر انیمیشن اجتماعی سیریز جیسے """"تھری ڈیلیوری"""" اور """"کپا"""" ، اور دوسرے اسٹوڈیوز کے فلیش شوز ، جیسے """"ایڈگر اینڈ ایلن"""" اور """"دی سیکرٹ شو"""" ،', '۔ اس پلاٹ میں ہیری کے ہگ ورٹس اسکول آف جادوگری اور جادوگری کے دوسرے سال کی پیروی کی گئی ہے ، جس کے دوران اسکول کے راہداریوں کی دیواروں پر پیغامات کی ایک سیریز نے خبردار کیا ہے کہ ""چیمبر آف سیکرٹس"" کھول دیا گیا ہے اور ""سلیڈرین کا وارث"" تمام طلباء کو', '۔ ارلانو فیلیکس آرگنائزیشن ، جسے """"ٹیہوانا کارٹیل"""" بھی کہا جاتا ہے ، ایک دہائی سے زیادہ عرصے سے بے شمار قتلوں اور ہزاروں ٹن چرس ، کوکین ، ہیروئن اور میتھامفیٹامین کی اسمگلنگ کا ذمہ دار ہے۔""']",پسیوڈوٹسوگا کے بارے میں کوئی ذکر نہیں ہوا لیکن ہورنیا جو اسٹیپیلیا اور ہودیا سے متعلق ہے تو وہ کائنات میں پایا جاتا ہے۔,5.539254427,0,0.078591824,2.970677614,8.588523865,easy
جوآن سیبسٹین کیبل اور جان لائیڈ کون سا کھیل کھیلتے ہیں؟,ٹینس,singlehop,"['۔ بہنیں کی اور ڈینیئل پینابیکر بالترتیب جیمی بارٹلیٹ اور اس کی الٹر ایگو اسابیلا کے طور پر اداکاری کرتی ہیں', '، اور شمال میں ایونیو گیبریل اور جنوب میں سین کے درمیان', 'آئلینڈ ایونیو ، اور جنوب میں برائٹن بیچ ایونیو سے گھیر لیا تھا']","بہنیں نہیں، جیمی بارٹلیٹ اور اس ABIلا کہلاتے ہیں۔",2.992617846,0,0.050009251,1.163852692,4.206479788,easy
کیم لیپ کون سا جنوبی کوریائی گرل گروپ کا ایک البم ہے؟,لونا,multihop,"['گجرات لیونز ایک بھارتی کرکٹ ٹیم ہے جو انڈین پریمیئر لیگ میں کھیلتی ہے۔ اس ٹیم کی کپتانی سریش رینا اور کوچنگ بریڈ ہڈج کرتے ہیں۔', 'گیمبل سکوگمو ، ایک امریکی کمپنی ہے جو اسٹور کی فراہمی کے لئے کام کرتی ہے', 'ہے جو جنوبی فرانس اور شمالی اسپین میں پیرینیوں کے پہاڑوں میں مقامی ہے']",گجرات لیونز کے بارے میں کوئی معلومات نہیں ہے جو کیم لیپ سے متعلق ہے۔ اس لئے سوال کا جواب نہیں دے سکتا۔,3.233923435,0,0.063062668,2.004750729,5.301736832,easy
"والگریریا فرانزی ایک اطالوی چمڑے کے بیگ اور سامان کی کمپنی تھی جس کی بنیاد 1864 میں روکو فرانزی نے رکھی تھی۔ گچی نے اس کمپنی کے لئے کام کیا جب تک کہ اس نے گچی کو قائم نہیں کیا ، جو ایک اطالوی فیشن اور چمڑے کی اشیاء کا ایک پرتعیش برانڈ ہے جو گچی گروپ کا حصہ ہے ، جو فرانسیسی ہولڈنگ کمپنی کیئرنگ کی ملکیت ہے۔",1921ء میں,singlehop,"['۔ اگرچہ انہوں نے جون 1864 سے ایک بریگیڈ اور بینٹن ویل کی لڑائی میں ایک ڈویژن کی کمانڈ کی اور جنرل جوزف ای جانسٹن کی کمانڈ کے تحت کنفیڈریٹ فورس کے ہتھیار ڈالنے کے بعد ، انہیں کبھی بھی کنفیڈریٹ صدر جیفرسن ڈیوس نے بریگیڈیئر جنرل مقرر نہیں کیا یا', 'والگریریا فرانزی ایک اطالوی چمڑے کی بیگ اور سامان کی کمپنی تھی جس کی بنیاد 1864 میں روکو فرانزی نے رکھی تھی۔ یہ 20 ویں صدی کے اوائل تک رائلٹی اور اشرافیہ کے لئے ایک سپلائر تھا۔ یہ 1905 سے 1909 تک میلان اسٹاک ایکسچینج میں درج تھا۔', '۔ یہ ایک پتھر کی عمارت ہے جو 1864 میں بینجمن سی مور کمپنی کے لئے آٹے کی مل کے طور پر تعمیر کی گئی تھی۔ 1884 کے آس پاس ، اسے ہولی واٹر ورکس کے طور پر استعمال کرنے کے لئے تبدیل کیا گیا تھا ، جو اس ملک میں مرکزی پمپنگ سسٹم کی ترقی میں ایک سرخیل تھا']",والگریریا فرانزی ایک اطالوی چمڑے کے بیگ اور سامان کی کمپنی تھی جو روکو فرانزی نے 1864 میں رکھی تھی۔,3.797989607,0,0.077522993,2.244156122,6.119668722,easy
امریکہ کے 45 ویں سربراہ ریاست اور حکومت کے سربراہ کا نام نیویارک کے ایپیسکوپل ڈائیوسیس کے ایک پارش چرچ سے منسلک ہے.,فرینکلن ڈیلانو روزویلٹ,singlehop,"['۔ اپنے کیریئر کے دوران ، ینگ نے 45 کتابیں لکھی ، جن میں بالغ اور نوجوان سامعین کے لئے ناول اور غیر افسانہ شامل ہیں۔', 'ونڈرمیر وے ، ایک 45 میل طویل سرکٹ ہے جو انگریزی لیک ڈسٹرکٹ میں واقع ونڈرمیر کی جھیل ہے۔ یہ راستہ مکمل طور پر لیک ڈسٹرکٹ نیشنل پارک کے اندر ہے اور ونسفیل ، لوگرگ فیل اور گمر کے ہاو کی چوٹیوں کے ساتھ ساتھ امبلسائڈ اور ونڈرمیر کے شہروں سے گزرتا ہے۔', '۔ اس سے قبل ، انہوں نے فلوریڈا یونیورسٹی میں بائیو انجینئرنگ کے پروفیسر اور چیئر اور ڈائریکٹر کی حیثیت سے خدمات انجام دیں اور 45 سالوں سے زیادہ عرصے تک صنعت ، حکومت اور تعلیمی قیادت میں متعدد کردار ادا کیے۔""""""']","نہیں ۔ 

(Note: This is a simple ""no"" answer in Urdu, indicating that the information provided in the context does not mention the name of the 45th President of the United States or government leader.)",3.211971521,0,0.055491686,1.765738726,5.033201933,easy
"""سبت کے دن کو یاد رکھنا ، اسے مقدس رکھنا """" دس احکامات میں سے ایک ہے ، جسے دس احکامات کے نام سے بھی جانا جاتا ہے ، جو اخلاقیات اور عبادت سے متعلق بائبل کے قوانین کا ایک مجموعہ ہے ، جو بنیادی کردار ادا کرتا ہے ، جس میں مذہب """"۔""","یہودیت، عیسائیت اور اسلام",singlehop,"['""آئی ٹی وی کے مطابق ، فلم کی کہانی """"دی ڈیول کے ساتھ رقص ، آزادی کے لئے مشرقی تیمور کے ووٹ کی پولیسنگ کا ایک ذاتی اکاؤنٹ"""" پر مبنی ہے ، جو ڈیوڈ سیویج ، ایک آسٹریلوی فیڈرل پولیس افسر نے لکھا تھا ، جو ووٹ کے دوران مالیانا میں مقیم تھا ، اور جہاں', '""اس کے بعد ، اس نے اپنے دوسرے البم کے ساتھ کامیابی حاصل کی ، جو اس کے دوست جیف کوہن نے تیار کیا تھا ، اور اس کے بعد ہی اس نے اپنے دوسرے البم کو فروخت کیا تھا ، جس میں اس نے """"ایک ٹیرر"""" کے کچھ شریک ستاروں کے ساتھ پرفارم کیا', '""انٹرنیشنل برائٹ ینگ تھنگ"" ایک برطانوی متبادل ڈانس بینڈ جیسس جونز کا گانا ہے۔ یہ ان کے دوسرے البم """"ڈوبٹ"""" سے تیسرا سنگل کے طور پر جاری کیا گیا تھا ، اور برطانیہ میں ٹاپ ٹین ہٹ تھا۔ اس کے بعد """"ریئل ریئل ریئل"""" اور """"رائیٹ ہیر ، رائیٹ ناؤ""""']","""نہیں""",3.493611813,0,0.072384596,0.985057831,4.551054239,easy
"ڈومونٹ ، نیو جرسی میں پیدا ہونے والے اس فنکار نے 13 مئی 1997 کو ایک البم جاری کیا جس میں ان کے نئے گلوکار کا اضافہ ہوا۔",مائیکل ایمانوئل,singlehop,"['""امریکن سائیکو ایک البم ہے جو 13 مئی 1997 کو ریلیز ہوا ، یہ پہلا البم تھا جو بینڈ کے بانی اور سابق رہنما گلین ڈینزگ کے بغیر ریکارڈ کیا گیا تھا ، بیسسٹ جیری صرف ، کئی سالوں کے مقدمے کے بعد ، ڈینزگ کے ساتھ ایک تصفیہ پر پہنچا اور اسے ریکارڈ کرنے اور', 'انڈر گراؤنڈ: ہیکنگ ، پاگل پن اور جنون کی کہانیاں الیکٹرانک فرنٹیئر پر ، ایک کتاب ہے جو سوئلیٹ ڈریفس نے 1997 میں لکھی تھی ، جس میں جولین اسانج نے تحقیق کی تھی', '۔ جرمن اسٹوڈیو کنسٹنٹن فلم نے جنوری 1997 میں پہلی فلم کے حقوق خریدے ، جس میں ایلن بی میک ایلرو اور جارج اے رومرو ممکنہ طور پر مصنفین تھے']",گلین ڈینزگ,3.057779074,0,0.05300355,0.754492044,3.865274668,easy
"این ایف ایل اسٹریٹ 2 کے لئے ، جیریمی شوکی کی تصویر",امریکی فٹ بال ویڈیو گیم,singlehop,"['۔ ٹیم ٹی این ٹی نے ڈوم 2 کے لئے لیول پیک اور ڈوم 2 کے لئے ڈیولپر پیک کو بھی تیار کیا ہے۔', '۔ اس اڈے کا نام ایوی ایٹر 2 ڈی لیفٹیننٹ سیموئیل ریوز کیسلر ، جونیئر کے اعزاز میں رکھا گیا ہے ، جو پہلی جنگ عظیم کے دوران فرانس میں مارا گیا تھا', '۔ اس کا کینٹٹا 2 جولائی کو ایلیزابیتھ کے ساتھ مریم کے دورے کی یاد میں لکھا گیا تھا ، جیسا کہ اس دن کے لئے مقررہ پڑھنے میں بیان کیا گیا ہے']","ایوی ایٹر 2 میں نہیں ہے ، لیکن کینٹٹا 2 میں جیریمی شوکی کی تصویر نہیں لکھی گئی ہے",2.930820942,0,0.050009251,1.813732862,4.794563055,easy
