level,question,answer,context,retrieved_context,final_answer,retriever_time,generator_time,total_time
easy, Are the Comx-35 and Sharp MZ both personal types of computers?,yes,"The COMX-35 was a home computer that was one of the very few systems to use the RCA 1802 microprocessor, the same microprocessor that is also used in some space probes. The Sharp MZ is a series of personal computers sold in Japan and Europe (particularly Germany and Great Britain) by Sharp beginning in 1978.","The Sharp MZ is a series of personal computers sold in Japan and Europe (particularly Germany and Great Britain) by Sharp beginning in 1978.
The COMX-35 was a home computer that was one of the very few systems to use the RCA 1802 microprocessor, the same microprocessor that is also used in some space probes.
Examples of a digital electronic computers include the IBM PC, the Apple Macintosh as well as modern smartphones",Yes.,0.011773824691772461,0.5154716968536377,0.5272455215454102
easy,"Who, Diane Wilkins or Steven Spielberg, is considered one of the founding pioneers of the New Hollywood era?",Steven Allan Spielberg,"Diane Wilkins is an independent award-winning filmmaker from Tallahassee, Florida, best known for high definition corporate and documentary production. Steven Allan Spielberg, {'1': "", '2': "", '3': 'KBE', '4': ""} , {'1': "", '2': "", '3': 'OMRI', '4': ""} (born December 18, 1946) is an American director, producer, and screenwriter.","He is considered one of the founding pioneers of the New Hollywood era, as well as being viewed as one of the most popular directors and producers in film history
He is considered one of the founding pioneers of the New Hollywood era, as well as being viewed as one of the most popular directors and producers in film history
Steven Spielberg (born December 18, 1946) is an American director, producer, and screenwriter",Steven Spielberg,0.009054183959960938,0.5827047824859619,0.5917589664459229
easy,"Amy Lee and TISM, are related to which genre of music?",rock," She is the co-founder and lead vocalist of the rock band Evanescence. TISM (an acronym of This Is Serious Mum) were a seven-piece anonymous alternative rock band from Melbourne, Australia.","Amy Lynn Hartzler (née Lee ; born December 13, 1981), known professionally as Amy Lee, is an American singer, songwriter, record producer and multi-instrumentalist
TISM (an acronym of This Is Serious Mum) were a seven-piece anonymous alternative rock band from Melbourne, Australia.  The group were formed on 30 December 1982 by vocalist/drummer Humphrey B
The song was written by lead vocalist Amy Lee and produced by Dave Fortman.  According to Lee it was written for her long-time friend and future husband, Josh Hartzler",Alternative rock,0.010785102844238281,0.5515010356903076,0.5622861385345459
easy,Which airport offers no passenger airline services since United Express ended flights to San Francisco; Cherry Capital Airport or Chico Municipal Airport?,Chico Municipal Airport,"Cherry Capital Airport (IATA: TVC, ICAO: KTVC, FAA LID: TVC) is a public use airport located two nautical miles (4 km) southeast of the central business district of Traverse City, in Grand Traverse County, Michigan, United States. Chico Municipal Airport (IATA: CIC, ICAO: KCIC, FAA LID: CIC) , often called CMA, is four miles (6 km) north of Chico, in Butte County, California.  The airport has seen airline jets, but no passenger airline serves Chico since United Express ended flights to San Francisco.","The airport has seen airline jets, but no passenger airline serves Chico since United Express ended flights to San Francisco.
In addition to general aviation, the airport has scheduled passenger flights to and from San Francisco on United Express.
Stol Air Commuter operated scheduled passenger air service connecting several cities in the San Francisco Bay Area as well as northern California with San Francisco International Airport (SFO)",Chico Municipal Airport.,0.012147903442382812,0.8632540702819824,0.8754019737243652
easy,Nicole Mitchell is an American on-camera meteorologist that is assigned to what Air Force base named after a Mississippi native killed in France during the First World War? ,Keesler Air Force Base,"Nicole Lynn Mitchell (born October 10, 1974) is an American on-camera meteorologist for WFOR-TV in Miami, Florida.  Mitchell is also a Major in the U.S. Air Force Reserve, assigned to the 53d Weather Reconnaissance Squadron at Keesler Air Force Base, Mississippi, as an aerial reconnaissance weather officer (Hurricane Hunter airborne meteorologist). Keesler Air Force Base (IATA: BIX, ICAO: KBIX, FAA LID: BIX) is a United States Air Force base located in Biloxi, a city in Harrison County, Mississippi, United States.","Nicole Lynn Mitchell (born October 10, 1974) is an American on-camera meteorologist for WFOR-TV in Miami, Florida.  Mitchell is also a Major in the U.S
She was one of the members of ""The Weathermen"" which was the radical student activist group.  In 2002, she was honored at the 2002 Women Who Dared event in Boston.
The base is named in honor of aviator 2d Lt Samuel Reeves Keesler, Jr., a Mississippi native killed in France during the First World War",Keesler,0.011066913604736328,0.6751644611358643,0.6862313747406006
easy,"Pseudotsuga, found in North America and Eastern Asia which has also been classified as 'Abies' and 'Tsuga' and Huernia which is found in Eastern and Southern Africa and closely related to 'Stapelia' and 'Hoodia' are both types of what?",genus,"Pseudotsuga is a genus of evergreen coniferous trees in the family Pinaceae.  The number of species has long been debated, but two in western North America and two to four in eastern Asia are commonly acknowledged.  Nineteenth-century botanists had problems in classifying Douglas-firs, due to the species' similarity to various other conifers better known at the time; they have at times been classified in ""Pinus"", ""Picea"", ""Abies"", ""Tsuga"", and even ""Sequoia"". The genus Huernia (family Apocynaceae, subfamily Asclepiadoideae) consists of stem succulents from Eastern and Southern Africa, first described as a genus in 1810.","Pseudotsuga is a genus of evergreen coniferous trees in the family Pinaceae.  Common names include Douglas fir, Douglas-fir, Douglas tree, and Oregon pine
The genus name has also been hyphenated as ""Pseudo-tsuga"".
"" Pseudotsuga menziesii"" is widespread in western North America and is an important source of timber",Coniferous trees.,0.010460376739501953,0.8249385356903076,0.8353989124298096
easy,Juan Sebastián Cabal and John Lloyd play what sport?,tennis,Juan Sebastián Cabal (born 25 April 1986) is a Colombian professional tennis player. John Lloyd (born 27 August 1954) is a British former professional tennis player.,"Juan Sebastián Cabal (born 25 April 1986) is a Colombian professional tennis player.  His highest doubles ranking is World No. 18 and World No. 184 in singles
Juan Sebastián Cabal and Carlos Salamanca were the defending champions but Cabal decided not to participate. <br>
Juan Sebastián Cabal and Alejandro Falla were the defending champions, but Cabal didn't start this year.",Tennis,0.013681411743164062,0.548032283782959,0.561713695526123
easy,Kim Lip is an album made by which South Korean girl group?,Loona,"Kim Lip is the sixth single album from South Korean girl group Loona's pre-debut project. Loona, stylized as LOOΠΔ, is an upcoming South Korean girl group formed by Blockberry Creative, a subsidiary of Polaris Entertainment, set to debut in 2018.","Kim Lip is the sixth single album from South Korean girl group Loona's pre-debut project
JinSoul (also known as Kim Lip & JinSoul) is the seventh single album from South Korean girl group Loona's pre-debut project
The album consists of five tracks, including the title track, ""Girl Front"".  The unit is made up of the members Kim Lip, JinSoul and Choerry.",Loona's pre-debut project,0.010004281997680664,0.9651520252227783,0.975156307220459
easy,"The Valigeria Franzi was an Italian manufacturer of leather bags and luggage founded in Milan in 1864 by Rocco Franzi, Guccio Gucci worked for the company until he set up Gucci in what year, an Italian luxury brand of fashion and leather goods, part of the Gucci Group, which is owned by the French holding company Kering?",1921, Guccio Gucci worked for the company until he set up Gucci in 1921.  Gucci was founded by Guccio Gucci in Florence in 1921.,"The Valigeria Franzi was an Italian manufacturer of leather bags and luggage founded in Milan in 1864 by Rocco Franzi.  By the early 20th century, it was a supplier to royalty and nobility
Gucci ( ; ] ) is an Italian luxury brand of fashion and leather goods, part of the Gucci Group, which is owned by the French holding company Kering
Gucci was founded by Guccio Gucci in Florence in 1921.",Guccio Gucci worked for the company until he set up Gucci in 1921.,0.009024858474731445,2.1637470722198486,2.17277193069458
easy,"What 45th head of state and head of government of the United States, is associated with a parish church of the Episcopal Diocese of New York?",Franklin Delano Roosevelt," The church is associated with Franklin Delano Roosevelt, the 32nd President of the United States, whose family estate is located 2.7 miles south of the church. The President of the United States (informally referred to as ""POTUS"") is the head of state and head of government of the United States.","on the south by the Episcopal Diocese of Central Pennsylvania and on the west by the Episcopal Diocese of Western New York
The Episcopal Diocese of Rochester is the diocese of the Episcopal Church in the United States of America with jurisdiction over eight counties in west central New York
Previously, she was a priest in the Episcopal Diocese of Central New York, the Episcopal Diocese of Newark, and the Episcopal Diocese of California",There is no association between the 45th head of state and head of government of the United States and a parish church of the Episcopal Diocese of New York mentioned in the context.,0.009253501892089844,3.6600751876831055,3.669785499572754
easy,"""Remember the sabbath day, to keep it holy"" is one of the Ten Commandments, also known as the Decalogue, are a set of biblical laws relating to ethics and worship, which play a fundamental role, in which religions?","Judaism, Christianity, and Islam","""Remember the sabbath day, to keep it holy"" is one of the Ten Commandments found in the Hebrew Bible. The Ten Commandments, also known as the Decalogue, are a set of biblical laws relating to ethics and worship, which play a fundamental role in Judaism, Christianity, and Islam.","The Ten Commandments, also known as the Decalogue, are a set of biblical laws relating to ethics and worship, which play a fundamental role in Judaism, Christianity, and Islam
""Remember the sabbath day, to keep it holy"" is one of the Ten Commandments found in the Hebrew Bible.
possibly connected to the third and seventh imperatives of the Ten Commandments: """"Remember the Sabbath day, to keep it holy"" and ""Thou shalt not commit adultery""","Judaism, Christianity, and Islam",0.006749153137207031,1.1988508701324463,1.2056000232696533
easy,"What artist that grew up in Dumont, New Jersey, released an album on May 13, 1997 that marked the addition of their new singer?",Michael Emanuel," The album also marked the addition of singer Michale Graves and Dr. Chud on drums . Michael Emanuel (born March 21, 1975), better known by his stage name Michale Graves, is an American singer and songwriter.  Graves grew up in Dumont, New Jersey.","Graves grew up in Dumont, New Jersey.  He has also released several albums as a solo artist.
He is most well known as the lead singer for the 1990s re-incarnation of the Misfits from 1995 to 1998 and again from late 1998 until late 2000.  Graves grew up in Dumont, New Jersey
which was featured on their past two albums","The artist that grew up in Dumont, New Jersey is Graves.",0.007361888885498047,1.6354453563690186,1.6428072452545166
easy,NFL Street 2 Is what kind of game that features Jeremy Shockey?,American football video game,NFL Street 2 is American football video game developed by EA Sports BIG and published by Electronic Arts.  He was drafted by the New York Giants 14th overall in the 2002 NFL Draft.,"NFL Street 2 is American football video game developed by EA Sports BIG and published by Electronic Arts.  It was originally released for the PlayStation 2, GameCube and Xbox on December 22, 2004
NFL Street is an American football video game developed by EA Tiburon and published by Electronic Arts.  It was originally released for the PlayStation 2, GameCube and Xbox on January 13, 2004
It features then-New York Giants tight end Jeremy Shockey and rapper Xzibit on the cover.  The game is compatible with ""Madden NFL 2006"", as players can import their ""Own The City"" players to it",American football video game.,0.00790095329284668,0.8822541236877441,0.8901550769805908
easy,"What actress portrayed the wife of John Proctor in the 1996 American historical drama film, The Crucible?",Joan Allen,"The Crucible is a 1996 American historical drama film written by Arthur Miller adapting his play of the same title, inspired by the Salem witchcraft trials.  It was directed by Nicholas Hytner and stars Daniel Day-Lewis as John Proctor, Winona Ryder as Abigail Williams, Paul Scofield as Judge Thomas Danforth, Bruce Davison as Reverend Parris, and Joan Allen as Elizabeth Proctor.  She was the wife of John Proctor, who was also convicted; he was executed.","It was directed by Nicholas Hytner and stars Daniel Day-Lewis as John Proctor, Winona Ryder as Abigail Williams, Paul Scofield as Judge Thomas Danforth, Bruce Davison as Reverend Parris
Elizabeth Proctor (née Bassett; 1652 – unknown) was convicted of witchcraft in the Salem Witch Trials of 1692.  She was the wife of John Proctor, who was also convicted; he was executed.
The Crucible is a 1996 American historical drama film written by Arthur Miller adapting his play of the same title, inspired by the Salem witchcraft trials",Elizabeth Proctor,0.015274763107299805,0.685600996017456,0.7018716335296631
easy,"Nike Flywire is a thread, composed of Vectran or nylon, and developed by which American multinational corporation that is engaged in the design, development, manufacturing, and worldwide marketing and sales of footwear, apparel, equipment, accessories, and services?","Nike, Inc.","Nike Flywire is a thread, composed of Vectran or nylon, and developed by Nike, used in the upper of a shoe. Nike, Inc. ( ; ) is an American multinational corporation that is engaged in the design, development, manufacturing, and worldwide marketing and sales of footwear, apparel, equipment, accessories, and services.","Nike Flywire is a thread, composed of Vectran or nylon, and developed by Nike, used in the upper of a shoe.  The goal of Flywire is to minimize weight and maximize support
Shoes containing Flywire became available for consumer purchase in 2008.
Nike, Inc",Nike,0.03148603439331055,0.4554767608642578,0.48696279525756836
easy,Who fought as both a welter weight and middle weight under teacher Mark Dellagrotte?,Patrick Côté," The owner and head trainer of Sityodtong Boston, Mark Dellagrotte, is a teacher of various styles of Muay Thai such as Mae Mai Muay Thai, Pradal Serey, Muay Boran, Muay Lao, and also Burmese Boxing. Patrick Côté (] ; born February 29, 1980) is a retired Canadian mixed martial artist who fought as a welterweight and middleweight in the UFC, compiling a record of 10-11 in the organization.","his professional fighting weight varied from 128 lb , i
he was world champion as a super middle weight, light heavyweight and heavyweight
and World Boxing Union (WBU) light middleweight title against Mehrdad Takalobigashi, his professional fighting weight varied from 125 lb , i",This fighter fought as both super middle weight and light heavyweight under teacher Mark Dellagrotte.,0.009390115737915039,2.5000741481781006,2.5094642639160156
easy,What genre is the Dumb and Dumber Moive?,gross-out humor,"Dumb and Dumber To is a 2014 American comedy film co-written and directed by Bobby and Peter Farrelly.  The Farrelly brothers are mostly famous for directing and producing gross-out humor romantic comedy films such as ""Dumb and Dumber"", ""Shallow Hal"", ""Me, Myself and Irene"", ""There's Something About Mary"" and the 2007 remake of ""The Heartbreak Kid"".","""The Three Stooges"", and ""Dumb and Dumber To""
Dumb and Dumber To is a 2014 American comedy film co-written and directed by Bobby and Peter Farrelly
They have made eleven films, including ""Dumb and Dumber"", ""Kingpin"", ""Hall Pass"", ""Me, Myself & Irene"", ""Shallow Hal"", ""Stuck on You"", ""Osmosis Jones"", ""There's Something About Mary""",Comedy film,0.0057332515716552734,0.6617696285247803,0.6680235862731934
easy,"Who is a Canadian retired professional ice hockey defenceman who played for nine teams in the National Hockey League, who had a Canadian ice hockey executive currently serving as Senior Advisor to the President-General Manager of the New York Rangers negotiated the playing and marketing contract?",Paul Douglas Coffey," Barnett negotiated the playing and marketing contracts for Wayne Gretzky, Brett Hull, Jaromir Jagr, Sergei Fedorov, Paul Coffey, Joe Thornton, Mats Sundin, Lanny McDonald, Grant Fuhr, Marty McSorley, Alexander Mogilny, Owen Nolan, Daniel Sedin and Henrik Sedin and numerous others. Paul Douglas Coffey (born June 1, 1961) is a Canadian retired professional ice hockey defenceman who played for nine teams in the National Hockey League.","1968) is a Canadian retired professional ice hockey defenceman who played in one National Hockey League game for the New York Rangers during the 1991–92 NHL season
He played for the New York Rangers, Quebec Nordiques, and Toronto Maple Leafs
1992) is a Canadian professional ice hockey defenceman currently playing for the Grand Rapids Griffins of the American Hockey League (AHL) while under contract to the Detroit Red Wings of the",1992),0.00952768325805664,0.6548311710357666,0.6643588542938232
easy,MAKO Surgical Corp accepted a deal from Stryker for what amount?,$1.65B," On September 25, 2013, the Board of Directors of Mako Surgical accepted a deal to be acquired by Stryker for $1.65B. Stryker Corporation () is a Fortune 500 medical technologies firm based in Kalamazoo, Michigan.","MAKO Surgical Corp. was a publicly traded medical device company based in Florida.  On September 25, 2013, the Board of Directors of Mako Surgical accepted a deal to be acquired by Stryker for $1.65B
Stryker Corporation () is a Fortune 500 medical technologies firm based in Kalamazoo, Michigan
Dr. Frederic Moll co-founded Intuitive Surgical with John Freund and Rob Younge, and was Founder & CEO of Hansen Medical.  He was a board member of Mako Surgical until its sale in 2013",$1.65B,0.009406566619873047,0.8330280780792236,0.8431751728057861
easy,What do La dame blanche and Il prigioniero have in common?,opera,"La dame blanche (""The White Lady"") is an opéra comique in three acts by the French composer François-Adrien Boieldieu. Il prigioniero (""The Prisoner"") is an opera (originally a radio opera) in a prologue and one act, with music and libretto by Luigi Dallapiccola.","La dame blanche (""The White Lady"") is an opéra comique in three acts by the French composer François-Adrien Boieldieu
The Emprise de l'Escu vert à la Dame Blanche (""Enterprise of the Green Shield with the White Lady"") was a chivalric order founded by Jean Le Maingre and twelve other knights in 1399
000 times by the company: ""Cavalleria Rusticana"", ""Le chalet"", ""La dame blanche"", ""Le domino noir"", ""La fille du régiment"", ""Lakmé"", ""Manon"", ""Mignon"", ""Les noces de Jeannette"", ""Le pré aux clercs""",Both La dame blanche and Le pré aux clercs are opera comiques.,0.008116960525512695,1.938340187072754,1.9464571475982666
easy,"Raymerville - Markville East, is a community in Markham, Ontario, the name ""Markville"" came from the local major shopping mall, CF Markville (also known as ""Markville Shopping Centre"") is a shopping mall located at 5000 Highway 7 East (at McCowan Road) in Markham, Ontario, in which country?",Canada," The name ""Markville"" came from the local major shopping mall, Markville Shopping Centre. CF Markville (also known as ""Markville Shopping Centre"") is a shopping mall located at 5000 Highway 7 East (at McCowan Road) in Markham, Ontario, Canada.","CF Markville (also known as ""Markville Shopping Centre"") is a shopping mall located at 5000 Highway 7 East (at McCowan Road) in Markham, Ontario, Canada
Raymerville - Markville East (2006 population 10,562) ""(Census Tract No. 5350400.03 and 5350400.12)"" is a community in Markham, Ontario, Canada
The community is referred to as ""Markville East"" because it is located immediately east of Markville Shopping Centre.",Canada,0.0050754547119140625,0.5342350006103516,0.5393104553222656
easy,Which film that stars Will Smith is James Karen known for acting in?,The Pursuit of Happyness," Karen is best remembered for his roles in ""Poltergeist"", ""The Return of the Living Dead"", ""Invaders from Mars"", and in ""The Pursuit of Happyness"".  Directed by Gabriele Muccino, the film features Will Smith as Gardner, a homeless salesman.","James Karen (born Jacob Karnofsky; November 28, 1923) is an American character actor of Broadway, film and television
The film was directed by Sean Anders, and stars Josh Zuckerman, Amanda Crew, Clark Duke, Seth Green, and James Marsden, while Katrina Bowden, Alice Greczyn, Michael Cudlitz, Dave Sheridan
The film stars James Karen as Michael Kenneth Marshall, a young medical student who goes through medical training at Columbia and Cornell",James Karen is not known for acting in any film that stars Will Smith.,0.009261846542358398,1.6686792373657227,1.677941083908081
easy,"Blackjack Switch is a casino gambling game invented by Geoff Hall, and patented in what year, natural blackjacks are paid 1:1 instead of the standard 3:2, and a dealer hard 22 pushes all player hands except a natural, a croupier or dealer is someone appointed at a gambling table to assist in the conduct of the game, especially in the distribution of bets and payouts?",2009,"Blackjack Switch is a casino gambling game invented by Geoff Hall and patented in 2009. A croupier or dealer is someone appointed at a gambling table to assist in the conduct of the game, especially in the distribution of bets and payouts.","Blackjack Switch is a casino gambling game invented by Geoff Hall and patented in 2009
Natural blackjacks are paid 1:1 instead of the standard 3:2, and a dealer hard 22 pushes all player hands except a natural.
for his record as a blackjack player and his innovations in professional gambling techniques",Blackjack Switch was patented in 2009.,0.006807088851928711,1.2732429504394531,1.2800500392913818
easy,Who was the barman that named a drink after the first person to walk on the moon?,invented cocktails," He also invented cocktails to commemorate the first walk on the moon in 1969 by Neil Armstrong, and the American and Russian link-up in space in 1975. Neil Alden Armstrong (August 5, 1930 – August 25, 2012) was an American astronaut, engineer, and the first person to walk on the Moon.","Truman and Richard Nixon.  He also invented cocktails to commemorate the first walk on the moon in 1969 by Neil Armstrong, and the American and Russian link-up in space in 1975.
the first person to walk on the Moon and a former naval aviator who served in the Korean War
Neil Alden Armstrong (August 5, 1930 – August 25, 2012) was an American astronaut, engineer, and the first person to walk on the Moon",Truman.,0.005952596664428711,0.6385083198547363,0.644460916519165
easy,"Does University of Arkansas have less students than California State University, Fullerton? ",yes," More than 26,000 students are enrolled in over 188 undergraduate, graduate, and professional programs.  With a total enrollment of about 40,200 it has the largest student body out of the 23-campus California State University (""CSU"") system, and its approximately 5,800 graduate student body is also the largest in the CSU and one of the largest in all of California.","and its approximately 5,800 graduate student body is also the largest in the CSU and one of the largest in all of California
With a total enrollment of about 40,200 it has the largest student body out of the 23-campus California State University (""CSU"") system, and its approximately 5
The two-year college has an enrollment of 17,044 students and covers 82 acre",No.,0.0064623355865478516,0.5476949214935303,0.5548276901245117
